date,client,platform,followers,reach,likes,comments,shares,saves,total_engagements,engagement_rate
2024-07-21,chiropractor,facebook,34800,12989,221,37,31,27,316,0.0244
2024-07-25,chiropractor,facebook,34881,8200,169,29,24,20,242,0.0296
2024-07-26,chiropractor,facebook,34755,7393,205,35,29,25,294,0.0398
2024-07-31,chiropractor,facebook,34862,12585,298,51,42,36,427,0.034
2024-08-01,chiropractor,facebook,34766,11491,282,48,40,33,403,0.0351
2024-08-05,chiropractor,facebook,34862,11138,284,48,40,34,406,0.0365
2024-08-15,chiropractor,facebook,34890,9554,224,38,32,27,321,0.0336
2024-08-16,chiropractor,facebook,34921,8889,221,38,31,27,317,0.0357
2024-08-20,chiropractor,facebook,35004,7348,156,26,22,20,224,0.0306
2024-08-26,chiropractor,facebook,34901,4962,133,22,19,16,190,0.0383
2024-09-01,chiropractor,facebook,35252,12879,329,56,47,39,471,0.0366
2024-09-05,chiropractor,facebook,34956,9251,155,26,22,19,222,0.024
2024-09-06,chiropractor,facebook,34942,12409,202,34,28,25,289,0.0233
2024-09-11,chiropractor,facebook,35229,10872,219,37,31,26,313,0.0288
2024-09-13,chiropractor,facebook,35206,8968,214,36,30,27,307,0.0343
2024-09-22,chiropractor,facebook,35256,8672,230,39,32,28,329,0.038
2024-09-26,chiropractor,facebook,35287,5502,81,13,11,11,116,0.0211
2024-10-02,chiropractor,facebook,35264,10071,199,34,28,24,285,0.0283
2024-10-10,chiropractor,facebook,35231,11314,246,42,35,29,352,0.0312
2024-10-13,chiropractor,facebook,35356,4471,81,14,11,11,117,0.0262
2024-10-14,chiropractor,facebook,35284,4265,74,12,10,11,107,0.0251
2024-10-17,chiropractor,facebook,35482,5017,85,14,12,11,122,0.0244
2024-10-25,chiropractor,facebook,35423,10858,216,37,30,26,309,0.0285
2024-10-30,chiropractor,facebook,35389,4208,90,15,12,12,129,0.0308
2024-11-04,chiropractor,facebook,35480,11691,310,53,44,36,443,0.0379
2024-11-07,chiropractor,facebook,35581,5548,114,19,16,14,163,0.0294
2024-11-15,chiropractor,facebook,35537,4043,66,11,9,9,95,0.0236
2024-11-17,chiropractor,facebook,35524,8525,195,33,27,24,279,0.0328
2024-11-22,chiropractor,facebook,35676,5871,161,27,23,19,230,0.0393
2024-11-24,chiropractor,facebook,35691,6435,170,29,24,20,243,0.0378
2024-11-26,chiropractor,facebook,35626,5885,157,27,22,19,225,0.0383
2024-12-05,chiropractor,facebook,35697,10348,156,26,22,19,223,0.0216
2024-12-11,chiropractor,facebook,35818,4056,106,18,15,13,152,0.0375
2024-12-15,chiropractor,facebook,35668,3930,102,17,14,13,146,0.0372
2024-12-17,chiropractor,facebook,35687,6060,168,28,24,21,241,0.0399
2024-12-22,chiropractor,facebook,35799,11369,178,30,25,22,255,0.0225
2024-12-27,chiropractor,facebook,35891,10721,275,47,39,32,393,0.0367
2024-12-30,chiropractor,facebook,35970,8627,238,40,34,29,341,0.0396
2025-01-03,chiropractor,facebook,36126,9054,217,37,31,26,311,0.0344
2025-01-06,chiropractor,facebook,36082,7315,140,24,20,17,201,0.0276
2025-01-18,chiropractor,facebook,36062,6964,142,24,20,17,203,0.0292
2025-01-23,chiropractor,facebook,36115,15505,258,44,36,31,369,0.0238
2025-01-26,chiropractor,facebook,36031,5087,125,21,17,16,179,0.0353
2025-01-28,chiropractor,facebook,36153,11710,271,46,38,33,388,0.0332
2025-01-31,chiropractor,facebook,36146,14311,387,66,55,45,553,0.0387
2025-02-05,chiropractor,facebook,36250,4868,84,14,12,10,120,0.0248
2025-02-28,chiropractor,facebook,36433,10886,267,45,38,32,382,0.0351
2025-03-01,chiropractor,facebook,36472,12887,205,35,29,24,293,0.0228
2025-03-03,chiropractor,facebook,36368,12096,208,35,29,26,298,0.0247
2025-03-06,chiropractor,facebook,36458,8964,197,33,28,24,282,0.0315
2025-03-12,chiropractor,facebook,36481,11120,275,47,39,33,394,0.0355
2025-03-15,chiropractor,facebook,36513,11649,200,34,28,25,287,0.0247
2025-03-20,chiropractor,facebook,36455,8469,235,40,33,28,336,0.0397
2025-03-29,chiropractor,facebook,36610,6522,128,22,18,16,184,0.0283
2025-03-30,chiropractor,facebook,36670,9656,210,36,30,24,300,0.0311
2025-04-04,chiropractor,facebook,36812,5797,140,24,20,17,201,0.0347
2025-04-09,chiropractor,facebook,36796,9897,232,39,33,28,332,0.0336
2025-04-12,chiropractor,facebook,36950,7839,114,19,16,14,163,0.0209
2025-04-19,chiropractor,facebook,36681,8308,191,32,27,23,273,0.0329
2025-04-25,chiropractor,facebook,36907,11874,253,43,36,30,362,0.0305
2025-04-29,chiropractor,facebook,36861,7625,150,25,21,19,215,0.0282
2025-05-02,chiropractor,facebook,37106,10335,170,29,24,21,244,0.0237
2025-05-06,chiropractor,facebook,36804,6869,118,20,17,15,170,0.0248
2025-05-10,chiropractor,facebook,36831,6005,156,26,22,19,223,0.0372
2025-05-12,chiropractor,facebook,36873,5058,103,17,14,14,148,0.0293
2025-05-20,chiropractor,facebook,36764,8952,177,30,25,21,253,0.0283
2025-05-29,chiropractor,facebook,37009,8441,180,30,25,23,258,0.0306
2025-06-03,chiropractor,facebook,37020,7659,134,23,19,16,192,0.0251
2025-06-05,chiropractor,facebook,37137,8871,133,22,19,17,191,0.0216
2025-06-10,chiropractor,facebook,37196,9631,184,31,26,22,263,0.0274
2025-06-14,chiropractor,facebook,37397,4644,118,20,16,15,169,0.0366
2025-06-20,chiropractor,facebook,37339,10319,198,33,28,24,283,0.0275
2025-06-22,chiropractor,facebook,37184,4834,70,12,10,8,100,0.0208
2025-06-28,chiropractor,facebook,37193,10101,254,43,36,31,364,0.0361
2025-06-29,chiropractor,facebook,37356,6338,147,25,21,18,211,0.0334
2025-07-05,chiropractor,facebook,37198,13370,226,38,32,27,323,0.0242
2025-07-11,chiropractor,facebook,37597,13533,247,42,35,29,353,0.0261
2025-07-18,chiropractor,facebook,37577,6097,102,17,14,14,147,0.0242
2025-07-24,chiropractor,facebook,37437,11807,287,49,41,33,410,0.0348
2025-07-26,chiropractor,facebook,37312,13487,331,56,47,39,473,0.0351
2025-07-29,chiropractor,facebook,37679,11437,270,46,38,33,387,0.0339
2025-07-30,chiropractor,facebook,37522,6597,128,22,18,16,184,0.0279
2025-08-06,chiropractor,facebook,37727,7086,130,22,18,17,187,0.0264
2025-08-08,chiropractor,facebook,37423,10792,221,37,31,27,316,0.0293
2025-08-16,chiropractor,facebook,37595,7854,143,24,20,18,205,0.0262
2025-08-17,chiropractor,facebook,37671,8974,236,40,33,29,338,0.0377
2025-08-21,chiropractor,facebook,37706,11674,294,50,42,35,421,0.0361
2025-08-22,chiropractor,facebook,37657,7488,184,31,26,22,263,0.0352
2025-08-26,chiropractor,facebook,37809,7482,125,21,18,16,180,0.0241
2025-09-03,chiropractor,facebook,37677,13405,196,33,28,23,280,0.0209
2025-09-05,chiropractor,facebook,37797,4444,107,18,15,14,154,0.0348
2025-09-10,chiropractor,facebook,37865,10625,230,39,33,28,330,0.0311
2025-09-16,chiropractor,facebook,37955,7596,182,31,26,22,261,0.0344
2025-09-20,chiropractor,facebook,38008,6941,115,19,16,15,165,0.0239
2025-09-24,chiropractor,facebook,37829,7132,156,26,22,19,223,0.0314
2025-09-25,chiropractor,facebook,37790,14853,322,55,46,37,460,0.031
2025-10-03,chiropractor,facebook,38170,13178,247,42,35,29,353,0.0268
2025-10-04,chiropractor,facebook,38070,12713,264,45,37,32,378,0.0298
2025-10-06,chiropractor,facebook,37962,9740,236,40,33,29,338,0.0348
2025-10-08,chiropractor,facebook,38239,8593,208,35,29,26,298,0.0347
2025-10-15,chiropractor,facebook,38128,10826,172,29,24,21,246,0.0228
2025-10-16,chiropractor,facebook,38257,14784,244,42,35,29,350,0.0237
2025-10-22,chiropractor,facebook,38175,14954,416,71,59,49,595,0.0398
2025-10-29,chiropractor,facebook,38457,12512,266,45,38,32,381,0.0305
2025-11-05,chiropractor,facebook,38475,10963,164,28,23,20,235,0.0215
2025-11-12,chiropractor,facebook,38297,3343,49,8,7,6,70,0.021
2025-11-15,chiropractor,facebook,38460,8424,133,22,19,17,191,0.0227
2025-11-18,chiropractor,facebook,38446,4501,67,11,9,9,96,0.0214
2025-11-23,chiropractor,facebook,38567,7015,119,20,17,15,171,0.0244
2025-11-28,chiropractor,facebook,38335,8453,125,21,17,16,179,0.0212
2025-11-29,chiropractor,facebook,38533,10749,290,49,41,35,415,0.0387
2025-12-01,chiropractor,facebook,38591,3408,79,13,11,10,113,0.0332
2025-12-02,chiropractor,facebook,38274,6598,140,24,20,17,201,0.0306
2025-12-09,chiropractor,facebook,38393,9155,129,22,18,16,185,0.0203
2025-12-20,chiropractor,facebook,38376,5600,119,20,17,15,171,0.0307
2025-12-27,chiropractor,facebook,38634,9013,189,32,27,22,270,0.03
2025-12-29,chiropractor,facebook,38764,11035,220,37,31,27,315,0.0286
2024-01-01,real_estate_agent,facebook,14564,3132,53,9,7,7,76,0.0244
2024-01-12,real_estate_agent,facebook,14541,2965,64,11,9,8,92,0.0312
2024-01-16,real_estate_agent,facebook,14623,2122,35,6,5,5,51,0.0244
2024-01-26,real_estate_agent,facebook,14527,2940,60,10,8,8,86,0.0293
2024-01-31,real_estate_agent,facebook,14530,1500,35,6,5,4,50,0.0338
2024-02-04,real_estate_agent,facebook,14617,2419,67,11,9,9,96,0.04
2024-02-08,real_estate_agent,facebook,14650,3627,65,11,9,8,93,0.0259
2024-02-11,real_estate_agent,facebook,14643,3380,51,8,7,7,73,0.0217
2024-02-14,real_estate_agent,facebook,14564,2043,49,8,7,6,70,0.0346
2024-02-22,real_estate_agent,facebook,14679,3625,67,11,9,10,97,0.0269
2024-02-23,real_estate_agent,facebook,14629,2345,49,8,7,7,71,0.0304
2024-03-02,real_estate_agent,facebook,14745,4484,68,11,9,10,98,0.022
2024-03-06,real_estate_agent,facebook,14746,2065,41,7,5,6,59,0.029
2024-03-16,real_estate_agent,facebook,14723,5531,80,13,11,11,115,0.0209
2024-03-18,real_estate_agent,facebook,14749,3721,53,9,7,7,76,0.0205
2024-03-28,real_estate_agent,facebook,14760,6097,94,16,13,12,135,0.0222
2024-03-31,real_estate_agent,facebook,14815,5832,157,27,22,19,225,0.0386
2024-04-01,real_estate_agent,facebook,14864,4889,103,17,14,14,148,0.0303
2024-04-06,real_estate_agent,facebook,14796,4242,78,13,11,10,112,0.0266
2024-04-13,real_estate_agent,facebook,14887,6226,126,21,18,16,181,0.0292
2024-04-15,real_estate_agent,facebook,14848,3047,69,11,9,10,99,0.0326
2024-04-25,real_estate_agent,facebook,14871,4189,96,16,13,13,138,0.0331
2024-04-28,real_estate_agent,facebook,14913,6799,164,28,23,20,235,0.0347
2024-04-29,real_estate_agent,facebook,14875,4389,88,15,12,12,127,0.029
2024-05-03,real_estate_agent,facebook,14911,3277,45,7,6,7,65,0.0201
2024-05-07,real_estate_agent,facebook,14896,5904,105,18,15,13,151,0.0256
2024-05-19,real_estate_agent,facebook,15081,5369,134,23,19,16,192,0.0359
2024-05-20,real_estate_agent,facebook,14997,5124,128,22,18,16,184,0.036
2024-05-22,real_estate_agent,facebook,14971,3270,62,10,8,9,89,0.0273
2024-06-01,real_estate_agent,facebook,15048,5979,93,15,13,12,133,0.0223
2024-06-07,real_estate_agent,facebook,15055,7682,159,27,22,20,228,0.0298
2024-06-09,real_estate_agent,facebook,15057,4442,81,13,11,11,116,0.0263
2024-06-11,real_estate_agent,facebook,15102,2908,56,9,8,8,81,0.0279
2024-06-17,real_estate_agent,facebook,15129,4865,91,15,13,12,131,0.027
2024-06-18,real_estate_agent,facebook,15075,6065,99,17,14,12,142,0.0235
2024-06-30,real_estate_agent,facebook,15115,7389,186,31,26,23,266,0.036
2024-07-01,real_estate_agent,facebook,15132,6007,133,22,19,17,191,0.0318
2024-07-03,real_estate_agent,facebook,15047,3547,65,11,9,8,93,0.0263
2024-07-12,real_estate_agent,facebook,15115,4257,65,11,9,9,94,0.0223
2024-07-19,real_estate_agent,facebook,15271,4336,68,11,9,10,98,0.0228
2024-07-26,real_estate_agent,facebook,15309,5307,118,20,16,15,169,0.0319
2024-07-27,real_estate_agent,facebook,15226,4791,95,16,13,12,136,0.0285
2024-08-01,real_estate_agent,facebook,15281,7077,151,26,21,19,217,0.0307
2024-08-03,real_estate_agent,facebook,15276,3059,82,14,11,11,118,0.0386
2024-08-11,real_estate_agent,facebook,15432,3633,58,10,8,8,84,0.0233
2024-08-16,real_estate_agent,facebook,15360,6413,105,18,15,13,151,0.0237
2024-08-19,real_estate_agent,facebook,15313,6417,144,24,20,19,207,0.0324
2024-08-25,real_estate_agent,facebook,15296,4287,116,20,16,15,167,0.039
2024-08-26,real_estate_agent,facebook,15270,3760,62,10,8,9,89,0.0239
2024-08-27,real_estate_agent,facebook,15357,5037,109,18,15,15,157,0.0312
2024-09-06,real_estate_agent,facebook,15348,3909,77,13,11,9,110,0.0282
2024-09-08,real_estate_agent,facebook,15324,3642,86,14,12,12,124,0.0342
2024-09-11,real_estate_agent,facebook,15371,4115,66,11,9,9,95,0.0233
2024-09-15,real_estate_agent,facebook,15365,2622,65,11,9,9,94,0.0359
2024-09-21,real_estate_agent,facebook,15514,2665,38,6,5,6,55,0.0207
2024-09-26,real_estate_agent,facebook,15495,5030,90,15,12,12,129,0.0258
2024-09-29,real_estate_agent,facebook,15464,4986,109,18,15,14,156,0.0313
2024-10-01,real_estate_agent,facebook,15540,3892,81,13,11,11,116,0.0299
2024-10-02,real_estate_agent,facebook,15479,2842,62,10,8,9,89,0.0315
2024-10-08,real_estate_agent,facebook,15456,5911,127,21,18,16,182,0.0309
2024-10-10,real_estate_agent,facebook,15574,4954,106,18,15,13,152,0.0308
2024-10-14,real_estate_agent,facebook,15543,3595,88,15,12,11,126,0.0352
2024-10-18,real_estate_agent,facebook,15484,3495,59,10,8,8,85,0.0244
2024-10-22,real_estate_agent,facebook,15537,4392,106,18,15,13,152,0.0347
2024-10-27,real_estate_agent,facebook,15523,5095,88,15,12,12,127,0.025
2024-10-28,real_estate_agent,facebook,15503,2619,37,6,5,5,53,0.0206
2024-11-05,real_estate_agent,facebook,15639,1776,46,7,6,7,66,0.0372
2024-11-07,real_estate_agent,facebook,15692,1851,48,8,6,7,69,0.0373
2024-11-16,real_estate_agent,facebook,15569,2006,50,8,7,7,72,0.0362
2024-11-20,real_estate_agent,facebook,15676,3526,85,14,12,11,122,0.0348
2024-11-24,real_estate_agent,facebook,15633,3188,82,14,11,11,118,0.0372
2024-11-25,real_estate_agent,facebook,15644,3192,63,10,9,9,91,0.0286
2024-12-04,real_estate_agent,facebook,15671,3653,91,15,13,11,130,0.0357
2024-12-24,real_estate_agent,facebook,15783,2878,51,8,7,8,74,0.0259
2025-01-02,real_estate_agent,facebook,15799,2708,73,12,10,10,105,0.039
2025-01-03,real_estate_agent,facebook,15794,3598,95,16,13,12,136,0.038
2025-01-06,real_estate_agent,facebook,15773,3401,53,9,7,8,77,0.0227
2025-01-12,real_estate_agent,facebook,15810,1361,26,4,3,5,38,0.0282
2025-01-15,real_estate_agent,facebook,15884,3144,56,9,8,7,80,0.0255
2025-01-24,real_estate_agent,facebook,15904,1588,37,6,5,5,53,0.034
2025-01-30,real_estate_agent,facebook,15855,2146,34,5,4,6,49,0.0229
2025-02-02,real_estate_agent,facebook,15917,3711,64,11,9,8,92,0.025
2025-02-05,real_estate_agent,facebook,15959,1622,31,5,4,5,45,0.0279
2025-02-10,real_estate_agent,facebook,15861,3056,69,11,9,10,99,0.0326
2025-02-13,real_estate_agent,facebook,15977,1424,27,4,3,5,39,0.0275
2025-02-21,real_estate_agent,facebook,15948,3810,95,16,13,12,136,0.0359
2025-03-01,real_estate_agent,facebook,16035,4790,93,16,13,12,134,0.0281
2025-03-04,real_estate_agent,facebook,15982,5779,136,23,19,17,195,0.0339
2025-03-09,real_estate_agent,facebook,15949,4488,91,15,13,11,130,0.0291
2025-03-12,real_estate_agent,facebook,15969,6704,147,25,21,18,211,0.0316
2025-03-16,real_estate_agent,facebook,16063,2679,68,11,9,10,98,0.0369
2025-03-17,real_estate_agent,facebook,16077,5639,155,26,22,19,222,0.0394
2025-03-18,real_estate_agent,facebook,16025,6802,161,27,23,19,230,0.0339
2025-03-27,real_estate_agent,facebook,16131,4425,110,18,15,15,158,0.0359
2025-04-02,real_estate_agent,facebook,16041,6794,186,32,26,23,267,0.0394
2025-04-03,real_estate_agent,facebook,16122,4034,84,14,12,10,120,0.0299
2025-04-07,real_estate_agent,facebook,16081,5289,94,16,13,12,135,0.0257
2025-04-13,real_estate_agent,facebook,16129,7053,111,19,15,14,159,0.0226
2025-04-15,real_estate_agent,facebook,16170,7323,183,31,26,22,262,0.0358
2025-04-16,real_estate_agent,facebook,16129,2520,61,10,8,9,88,0.0352
2025-04-25,real_estate_agent,facebook,16184,7087,161,27,23,19,230,0.0325
2025-04-27,real_estate_agent,facebook,16259,7672,108,18,15,14,155,0.0203
2025-05-01,real_estate_agent,facebook,16196,4947,79,13,11,11,114,0.0232
2025-05-06,real_estate_agent,facebook,16283,4835,134,23,19,16,192,0.0398
2025-05-12,real_estate_agent,facebook,16208,7667,213,36,30,26,305,0.0399
2025-05-15,real_estate_agent,facebook,16300,4147,108,18,15,14,155,0.0376
2025-05-23,real_estate_agent,facebook,16373,7657,200,34,28,25,287,0.0375
2025-05-25,real_estate_agent,facebook,16189,4523,69,11,9,10,99,0.0219
2025-05-28,real_estate_agent,facebook,16281,6395,96,16,13,13,138,0.0216
2025-06-01,real_estate_agent,facebook,16363,2742,62,10,9,9,90,0.033
2025-06-04,real_estate_agent,facebook,16335,6849,155,26,22,19,222,0.0325
2025-06-05,real_estate_agent,facebook,16367,5059,123,21,17,16,177,0.0351
2025-06-11,real_estate_agent,facebook,16340,3030,46,7,6,7,66,0.0218
2025-06-20,real_estate_agent,facebook,16406,2935,49,8,7,7,71,0.0243
2025-06-21,real_estate_agent,facebook,16398,5641,125,21,17,16,179,0.0319
2025-06-26,real_estate_agent,facebook,16481,2506,50,8,7,7,72,0.0289
2025-07-01,real_estate_agent,facebook,16454,3172,59,10,8,8,85,0.0269
2025-07-03,real_estate_agent,facebook,16465,6651,172,29,24,22,247,0.0372
2025-07-09,real_estate_agent,facebook,16449,3784,78,13,11,10,112,0.0296
2025-07-12,real_estate_agent,facebook,16456,7227,109,18,15,15,157,0.0218
2025-07-15,real_estate_agent,facebook,16469,4582,70,12,10,9,101,0.0221
2025-07-18,real_estate_agent,facebook,16521,4665,84,14,12,11,121,0.026
2025-07-23,real_estate_agent,facebook,16498,7520,190,32,27,23,272,0.0363
2025-07-24,real_estate_agent,facebook,16537,6359,145,24,20,19,208,0.0328
2025-07-28,real_estate_agent,facebook,16640,5677,84,14,12,11,121,0.0214
2025-07-30,real_estate_agent,facebook,16587,3299,74,12,10,10,106,0.0322
2025-08-08,real_estate_agent,facebook,16560,3501,65,11,9,9,94,0.027
2025-08-16,real_estate_agent,facebook,16664,7395,180,30,25,23,258,0.035
2025-08-23,real_estate_agent,facebook,16609,4506,101,17,14,13,145,0.0323
2025-08-26,real_estate_agent,facebook,16538,6736,114,19,16,14,163,0.0243
2025-08-30,real_estate_agent,facebook,16604,2633,42,7,6,5,60,0.0228
2025-09-03,real_estate_agent,facebook,16575,3644,88,15,12,11,126,0.0346
2025-09-07,real_estate_agent,facebook,16665,5628,112,19,16,13,160,0.0286
2025-09-14,real_estate_agent,facebook,16708,4802,84,14,12,10,120,0.025
2025-09-18,real_estate_agent,facebook,16806,4626,80,13,11,11,115,0.025
2025-09-20,real_estate_agent,facebook,16745,3153,75,12,10,11,108,0.0344
2025-09-27,real_estate_agent,facebook,16743,1965,53,9,7,7,76,0.0388
2025-09-30,real_estate_agent,facebook,16806,5896,151,26,21,19,217,0.0369
2025-10-01,real_estate_agent,facebook,16657,4611,77,13,11,10,111,0.0241
2025-10-11,real_estate_agent,facebook,16815,3660,60,10,8,9,87,0.0238
2025-10-16,real_estate_agent,facebook,16860,5484,125,21,18,16,180,0.0329
2025-10-19,real_estate_agent,facebook,16757,2921,72,12,10,10,104,0.0359
2025-10-23,real_estate_agent,facebook,16904,2887,55,9,7,8,79,0.0277
2025-10-30,real_estate_agent,facebook,16888,1986,45,7,6,7,65,0.0328
2025-10-31,real_estate_agent,facebook,16853,1714,44,7,6,7,64,0.0378
2025-11-03,real_estate_agent,facebook,16917,2893,54,9,7,8,78,0.0272
2025-11-07,real_estate_agent,facebook,17014,4806,93,15,13,12,133,0.0277
2025-11-14,real_estate_agent,facebook,16933,3426,67,11,9,10,97,0.0284
2025-11-15,real_estate_agent,facebook,16940,3135,51,8,7,7,73,0.0235
2025-11-17,real_estate_agent,facebook,16911,1680,46,7,6,7,66,0.0397
2025-11-29,real_estate_agent,facebook,16934,1377,30,5,4,4,43,0.0317
2025-12-02,real_estate_agent,facebook,17030,4364,74,12,10,10,106,0.0243
2025-12-06,real_estate_agent,facebook,16959,2580,70,12,10,8,100,0.039
2025-12-12,real_estate_agent,facebook,17027,3559,63,10,9,9,91,0.0257
2025-12-17,real_estate_agent,facebook,17017,2628,64,11,9,8,92,0.0353
2025-12-21,real_estate_agent,facebook,17080,3332,65,11,9,8,93,0.028
2025-12-22,real_estate_agent,facebook,17076,1769,37,6,5,6,54,0.0308
2025-12-28,real_estate_agent,facebook,17134,1539,23,3,3,4,33,0.0217
2025-12-30,real_estate_agent,facebook,17061,4396,117,20,16,15,168,0.0384
