date,ad_revenue,sponsorship_revenue,est_monetization,primary_outcome_count,primary_outcome_label
2024-02-09,1309.37,0.0,1309.37,1309.37,Est. Revenue
2024-02-10,3293.35,0.0,3293.35,3293.35,Est. Revenue
2024-02-11,592.07,16998.77,17590.84,17590.84,Est. Revenue
2024-02-12,1840.31,0.0,1840.31,1840.31,Est. Revenue
2024-02-13,1189.23,0.0,1189.23,1189.23,Est. Revenue
2024-02-14,827.81,0.0,827.81,827.81,Est. Revenue
2024-02-15,2295.39,0.0,2295.39,2295.39,Est. Revenue
2024-02-16,0.0,0.0,0.0,0.0,Est. Revenue
2024-02-17,2282.65,0.0,2282.65,2282.65,Est. Revenue
2024-02-18,378.5,0.0,378.5,378.5,Est. Revenue
2024-02-19,1007.96,0.0,1007.96,1007.96,Est. Revenue
2024-02-20,1852.86,0.0,1852.86,1852.86,Est. Revenue
2024-02-21,2394.02,0.0,2394.02,2394.02,Est. Revenue
2024-02-22,687.23,0.0,687.23,687.23,Est. Revenue
2024-02-23,1030.54,0.0,1030.54,1030.54,Est. Revenue
2024-02-24,419.37,0.0,419.37,419.37,Est. Revenue
2024-02-25,3260.91,0.0,3260.91,3260.91,Est. Revenue
2024-02-26,1586.56,0.0,1586.56,1586.56,Est. Revenue
2024-02-27,969.97,0.0,969.97,969.97,Est. Revenue
2024-02-28,2683.64,0.0,2683.64,2683.64,Est. Revenue
2024-02-29,2170.8,21107.68,23278.48,23278.48,Est. Revenue
2024-03-01,461.67,0.0,461.67,461.67,Est. Revenue
2024-03-02,792.91,0.0,792.91,792.91,Est. Revenue
2024-03-03,1486.55,0.0,1486.55,1486.55,Est. Revenue
2024-03-04,966.3,0.0,966.3,966.3,Est. Revenue
2024-03-05,742.87,0.0,742.87,742.87,Est. Revenue
2024-03-06,1765.34,9416.64,11181.98,11181.98,Est. Revenue
2024-03-07,1881.69,0.0,1881.69,1881.69,Est. Revenue
2024-03-08,1158.89,0.0,1158.89,1158.89,Est. Revenue
2024-03-09,2120.65,0.0,2120.65,2120.65,Est. Revenue
2024-03-10,2556.31,0.0,2556.31,2556.31,Est. Revenue
2024-03-11,1047.72,0.0,1047.72,1047.72,Est. Revenue
2024-03-12,1591.13,0.0,1591.13,1591.13,Est. Revenue
2024-03-13,2224.19,0.0,2224.19,2224.19,Est. Revenue
2024-03-14,2233.69,0.0,2233.69,2233.69,Est. Revenue
2024-03-15,1227.31,9515.48,10742.79,10742.79,Est. Revenue
2024-03-16,1484.5,0.0,1484.5,1484.5,Est. Revenue
2024-03-17,841.8,0.0,841.8,841.8,Est. Revenue
2024-03-18,1632.39,0.0,1632.39,1632.39,Est. Revenue
2024-03-19,1942.9,0.0,1942.9,1942.9,Est. Revenue
2024-03-20,799.85,0.0,799.85,799.85,Est. Revenue
2024-03-21,761.4,0.0,761.4,761.4,Est. Revenue
2024-03-22,1022.55,0.0,1022.55,1022.55,Est. Revenue
2024-03-23,1234.01,0.0,1234.01,1234.01,Est. Revenue
2024-03-24,1902.48,0.0,1902.48,1902.48,Est. Revenue
2024-03-25,1937.52,0.0,1937.52,1937.52,Est. Revenue
2024-03-26,1526.81,0.0,1526.81,1526.81,Est. Revenue
2024-03-27,1553.7,0.0,1553.7,1553.7,Est. Revenue
2024-03-28,2303.94,20697.42,23001.36,23001.36,Est. Revenue
2024-03-29,963.27,0.0,963.27,963.27,Est. Revenue
2024-03-30,2475.33,0.0,2475.33,2475.33,Est. Revenue
2024-03-31,0.0,0.0,0.0,0.0,Est. Revenue
2024-04-01,609.78,0.0,609.78,609.78,Est. Revenue
2024-04-02,1822.94,0.0,1822.94,1822.94,Est. Revenue
2024-04-03,1590.48,0.0,1590.48,1590.48,Est. Revenue
2024-04-04,1842.17,18558.27,20400.44,20400.44,Est. Revenue
2024-04-05,1258.41,0.0,1258.41,1258.41,Est. Revenue
2024-04-06,723.58,14190.71,14914.29,14914.29,Est. Revenue
2024-04-07,1003.67,0.0,1003.67,1003.67,Est. Revenue
2024-04-08,1947.58,15846.42,17794.0,17794.0,Est. Revenue
2024-04-09,1294.11,0.0,1294.11,1294.11,Est. Revenue
2024-04-10,1952.8,0.0,1952.8,1952.8,Est. Revenue
2024-04-11,1446.43,0.0,1446.43,1446.43,Est. Revenue
2024-04-12,2042.21,0.0,2042.21,2042.21,Est. Revenue
2024-04-13,1727.19,0.0,1727.19,1727.19,Est. Revenue
2024-04-14,748.66,0.0,748.66,748.66,Est. Revenue
2024-04-15,1446.48,0.0,1446.48,1446.48,Est. Revenue
2024-04-16,1413.45,0.0,1413.45,1413.45,Est. Revenue
2024-04-17,1787.13,0.0,1787.13,1787.13,Est. Revenue
2024-04-18,2332.12,0.0,2332.12,2332.12,Est. Revenue
2024-04-19,543.72,0.0,543.72,543.72,Est. Revenue
2024-04-20,1467.77,0.0,1467.77,1467.77,Est. Revenue
2024-04-21,701.53,0.0,701.53,701.53,Est. Revenue
2024-04-22,3500.69,0.0,3500.69,3500.69,Est. Revenue
2024-04-23,1061.12,0.0,1061.12,1061.12,Est. Revenue
2024-04-24,1466.35,0.0,1466.35,1466.35,Est. Revenue
2024-04-25,955.03,0.0,955.03,955.03,Est. Revenue
2024-04-26,1536.86,0.0,1536.86,1536.86,Est. Revenue
2024-04-27,1883.99,0.0,1883.99,1883.99,Est. Revenue
2024-04-28,2165.42,0.0,2165.42,2165.42,Est. Revenue
2024-04-29,2353.19,0.0,2353.19,2353.19,Est. Revenue
2024-04-30,2383.4,0.0,2383.4,2383.4,Est. Revenue
2024-05-01,1396.55,0.0,1396.55,1396.55,Est. Revenue
2024-05-02,1463.41,0.0,1463.41,1463.41,Est. Revenue
2024-05-03,916.83,0.0,916.83,916.83,Est. Revenue
2024-05-04,471.3,0.0,471.3,471.3,Est. Revenue
2024-05-05,1389.67,0.0,1389.67,1389.67,Est. Revenue
2024-05-06,1423.27,0.0,1423.27,1423.27,Est. Revenue
2024-05-07,2044.83,0.0,2044.83,2044.83,Est. Revenue
2024-05-08,2695.94,0.0,2695.94,2695.94,Est. Revenue
2024-05-09,1765.51,0.0,1765.51,1765.51,Est. Revenue
2024-05-10,1747.76,0.0,1747.76,1747.76,Est. Revenue
2024-05-11,304.91,16464.03,16768.94,16768.94,Est. Revenue
2024-05-12,602.03,0.0,602.03,602.03,Est. Revenue
2024-05-13,1256.8,0.0,1256.8,1256.8,Est. Revenue
2024-05-14,1595.3,18245.23,19840.53,19840.53,Est. Revenue
2024-05-15,2945.5,19923.35,22868.85,22868.85,Est. Revenue
2024-05-16,390.04,0.0,390.04,390.04,Est. Revenue
2024-05-17,2839.58,0.0,2839.58,2839.58,Est. Revenue
2024-05-18,2091.76,0.0,2091.76,2091.76,Est. Revenue
2024-05-19,394.06,0.0,394.06,394.06,Est. Revenue
2024-05-20,2237.86,40074.58,42312.44,42312.44,Est. Revenue
2024-05-21,1409.61,0.0,1409.61,1409.61,Est. Revenue
2024-05-22,587.45,0.0,587.45,587.45,Est. Revenue
2024-05-23,1681.07,0.0,1681.07,1681.07,Est. Revenue
2024-05-24,1248.85,14167.93,15416.78,15416.78,Est. Revenue
2024-05-25,1862.06,0.0,1862.06,1862.06,Est. Revenue
2024-05-26,1060.25,0.0,1060.25,1060.25,Est. Revenue
2024-05-27,1824.37,0.0,1824.37,1824.37,Est. Revenue
2024-05-28,1165.15,0.0,1165.15,1165.15,Est. Revenue
2024-05-29,1466.22,0.0,1466.22,1466.22,Est. Revenue
2024-05-30,1498.53,0.0,1498.53,1498.53,Est. Revenue
2024-05-31,2115.66,0.0,2115.66,2115.66,Est. Revenue
2024-06-01,0.0,0.0,0.0,0.0,Est. Revenue
2024-06-02,2341.86,0.0,2341.86,2341.86,Est. Revenue
2024-06-03,1832.81,0.0,1832.81,1832.81,Est. Revenue
2024-06-04,741.73,0.0,741.73,741.73,Est. Revenue
2024-06-05,1229.02,0.0,1229.02,1229.02,Est. Revenue
2024-06-06,935.09,0.0,935.09,935.09,Est. Revenue
2024-06-07,347.57,0.0,347.57,347.57,Est. Revenue
2024-06-08,1857.78,14555.58,16413.36,16413.36,Est. Revenue
2024-06-09,883.54,0.0,883.54,883.54,Est. Revenue
2024-06-10,2741.38,0.0,2741.38,2741.38,Est. Revenue
2024-06-11,1360.76,15343.6,16704.36,16704.36,Est. Revenue
2024-06-12,322.69,0.0,322.69,322.69,Est. Revenue
2024-06-13,1947.83,0.0,1947.83,1947.83,Est. Revenue
2024-06-14,914.68,0.0,914.68,914.68,Est. Revenue
2024-06-15,494.23,0.0,494.23,494.23,Est. Revenue
2024-06-16,1294.58,16449.93,17744.51,17744.51,Est. Revenue
2024-06-17,1064.87,0.0,1064.87,1064.87,Est. Revenue
2024-06-18,1395.39,0.0,1395.39,1395.39,Est. Revenue
2024-06-19,553.29,0.0,553.29,553.29,Est. Revenue
2024-06-20,1976.1,0.0,1976.1,1976.1,Est. Revenue
2024-06-21,2130.79,0.0,2130.79,2130.79,Est. Revenue
2024-06-22,1771.83,0.0,1771.83,1771.83,Est. Revenue
2024-06-23,208.6,0.0,208.6,208.6,Est. Revenue
2024-06-24,316.32,0.0,316.32,316.32,Est. Revenue
2024-06-25,1207.6,0.0,1207.6,1207.6,Est. Revenue
2024-06-26,1164.14,0.0,1164.14,1164.14,Est. Revenue
2024-06-27,1450.81,14595.77,16046.58,16046.58,Est. Revenue
2024-06-28,1436.78,0.0,1436.78,1436.78,Est. Revenue
2024-06-29,505.07,0.0,505.07,505.07,Est. Revenue
2024-06-30,1627.72,0.0,1627.72,1627.72,Est. Revenue
2024-07-01,1282.6,0.0,1282.6,1282.6,Est. Revenue
2024-07-02,1225.14,0.0,1225.14,1225.14,Est. Revenue
2024-07-03,1622.35,0.0,1622.35,1622.35,Est. Revenue
2024-07-04,2080.72,16065.52,18146.24,18146.24,Est. Revenue
2024-07-05,957.52,0.0,957.52,957.52,Est. Revenue
2024-07-06,1308.68,0.0,1308.68,1308.68,Est. Revenue
2024-07-07,1882.87,15908.1,17790.97,17790.97,Est. Revenue
2024-07-08,1199.53,0.0,1199.53,1199.53,Est. Revenue
2024-07-09,1317.03,0.0,1317.03,1317.03,Est. Revenue
2024-07-10,1003.47,0.0,1003.47,1003.47,Est. Revenue
2024-07-11,498.31,0.0,498.31,498.31,Est. Revenue
2024-07-12,1288.78,0.0,1288.78,1288.78,Est. Revenue
2024-07-13,1994.43,0.0,1994.43,1994.43,Est. Revenue
2024-07-14,1157.54,0.0,1157.54,1157.54,Est. Revenue
2024-07-15,1742.62,0.0,1742.62,1742.62,Est. Revenue
2024-07-16,754.42,0.0,754.42,754.42,Est. Revenue
2024-07-17,963.44,0.0,963.44,963.44,Est. Revenue
2024-07-18,1010.32,0.0,1010.32,1010.32,Est. Revenue
2024-07-19,0.0,0.0,0.0,0.0,Est. Revenue
2024-07-20,2007.47,0.0,2007.47,2007.47,Est. Revenue
2024-07-21,1182.15,0.0,1182.15,1182.15,Est. Revenue
2024-07-22,2207.32,16462.18,18669.5,18669.5,Est. Revenue
2024-07-23,1262.6,0.0,1262.6,1262.6,Est. Revenue
2024-07-24,617.27,0.0,617.27,617.27,Est. Revenue
2024-07-25,1843.03,0.0,1843.03,1843.03,Est. Revenue
2024-07-26,901.7,0.0,901.7,901.7,Est. Revenue
2024-07-27,727.33,0.0,727.33,727.33,Est. Revenue
2024-07-28,1551.11,0.0,1551.11,1551.11,Est. Revenue
2024-07-29,1633.74,0.0,1633.74,1633.74,Est. Revenue
2024-07-30,1440.79,0.0,1440.79,1440.79,Est. Revenue
2024-07-31,1175.39,0.0,1175.39,1175.39,Est. Revenue
2024-08-01,1052.39,0.0,1052.39,1052.39,Est. Revenue
2024-08-02,1823.85,0.0,1823.85,1823.85,Est. Revenue
2024-08-03,715.58,0.0,715.58,715.58,Est. Revenue
2024-08-04,847.78,0.0,847.78,847.78,Est. Revenue
2024-08-05,623.41,0.0,623.41,623.41,Est. Revenue
2024-08-06,2121.2,0.0,2121.2,2121.2,Est. Revenue
2024-08-07,1040.33,0.0,1040.33,1040.33,Est. Revenue
2024-08-08,1018.64,0.0,1018.64,1018.64,Est. Revenue
2024-08-09,986.24,0.0,986.24,986.24,Est. Revenue
2024-08-10,1724.8,15237.68,16962.48,16962.48,Est. Revenue
2024-08-11,909.02,35797.28,36706.3,36706.3,Est. Revenue
2024-08-12,1518.27,14530.3,16048.57,16048.57,Est. Revenue
2024-08-13,694.13,0.0,694.13,694.13,Est. Revenue
2024-08-14,1727.94,0.0,1727.94,1727.94,Est. Revenue
2024-08-15,1577.08,18015.01,19592.09,19592.09,Est. Revenue
2024-08-16,455.0,0.0,455.0,455.0,Est. Revenue
2024-08-17,1480.94,0.0,1480.94,1480.94,Est. Revenue
2024-08-18,1482.44,0.0,1482.44,1482.44,Est. Revenue
2024-08-19,2066.96,0.0,2066.96,2066.96,Est. Revenue
2024-08-20,1385.84,0.0,1385.84,1385.84,Est. Revenue
2024-08-21,2125.08,0.0,2125.08,2125.08,Est. Revenue
2024-08-22,1719.25,0.0,1719.25,1719.25,Est. Revenue
2024-08-23,547.92,0.0,547.92,547.92,Est. Revenue
2024-08-24,493.8,0.0,493.8,493.8,Est. Revenue
2024-08-25,1247.36,0.0,1247.36,1247.36,Est. Revenue
2024-08-26,1041.56,0.0,1041.56,1041.56,Est. Revenue
2024-08-27,1991.09,0.0,1991.09,1991.09,Est. Revenue
2024-08-28,1618.61,0.0,1618.61,1618.61,Est. Revenue
2024-08-29,1140.74,0.0,1140.74,1140.74,Est. Revenue
2024-08-30,831.72,0.0,831.72,831.72,Est. Revenue
2024-08-31,1007.42,15792.94,16800.36,16800.36,Est. Revenue
2024-09-01,1671.32,13983.81,15655.13,15655.13,Est. Revenue
2024-09-02,1549.58,0.0,1549.58,1549.58,Est. Revenue
2024-09-03,465.3,0.0,465.3,465.3,Est. Revenue
2024-09-04,1904.02,50640.46,52544.48,52544.48,Est. Revenue
2024-09-05,1490.63,0.0,1490.63,1490.63,Est. Revenue
2024-09-06,1009.29,0.0,1009.29,1009.29,Est. Revenue
2024-09-07,692.85,27845.45,28538.3,28538.3,Est. Revenue
2024-09-08,3043.19,0.0,3043.19,3043.19,Est. Revenue
2024-09-09,1562.45,0.0,1562.45,1562.45,Est. Revenue
2024-09-10,1646.05,0.0,1646.05,1646.05,Est. Revenue
2024-09-11,903.39,0.0,903.39,903.39,Est. Revenue
2024-09-12,2160.22,0.0,2160.22,2160.22,Est. Revenue
2024-09-13,1922.48,0.0,1922.48,1922.48,Est. Revenue
2024-09-14,1882.15,0.0,1882.15,1882.15,Est. Revenue
2024-09-15,1120.22,0.0,1120.22,1120.22,Est. Revenue
2024-09-16,0.0,0.0,0.0,0.0,Est. Revenue
2024-09-17,2522.68,0.0,2522.68,2522.68,Est. Revenue
2024-09-18,1336.01,0.0,1336.01,1336.01,Est. Revenue
2024-09-19,2320.68,0.0,2320.68,2320.68,Est. Revenue
2024-09-20,1212.18,18389.34,19601.52,19601.52,Est. Revenue
2024-09-21,1901.35,0.0,1901.35,1901.35,Est. Revenue
2024-09-22,2237.12,0.0,2237.12,2237.12,Est. Revenue
2024-09-23,996.61,0.0,996.61,996.61,Est. Revenue
2024-09-24,1495.98,0.0,1495.98,1495.98,Est. Revenue
2024-09-25,440.53,0.0,440.53,440.53,Est. Revenue
2024-09-26,3158.75,0.0,3158.75,3158.75,Est. Revenue
2024-09-27,1258.53,0.0,1258.53,1258.53,Est. Revenue
2024-09-28,2121.37,0.0,2121.37,2121.37,Est. Revenue
2024-09-29,988.28,0.0,988.28,988.28,Est. Revenue
2024-09-30,2561.86,0.0,2561.86,2561.86,Est. Revenue
2024-10-01,882.08,0.0,882.08,882.08,Est. Revenue
2024-10-02,2745.94,30906.32,33652.26,33652.26,Est. Revenue
2024-10-03,890.12,19639.51,20529.63,20529.63,Est. Revenue
2024-10-04,2330.37,19066.29,21396.66,21396.66,Est. Revenue
2024-10-05,2425.47,0.0,2425.47,2425.47,Est. Revenue
2024-10-06,1782.25,0.0,1782.25,1782.25,Est. Revenue
2024-10-07,1500.44,0.0,1500.44,1500.44,Est. Revenue
2024-10-08,1769.62,35122.24,36891.86,36891.86,Est. Revenue
2024-10-09,1240.25,0.0,1240.25,1240.25,Est. Revenue
2024-10-10,2152.75,0.0,2152.75,2152.75,Est. Revenue
2024-10-11,945.75,0.0,945.75,945.75,Est. Revenue
2024-10-12,2344.84,0.0,2344.84,2344.84,Est. Revenue
2024-10-13,773.05,0.0,773.05,773.05,Est. Revenue
2024-10-14,1628.88,0.0,1628.88,1628.88,Est. Revenue
2024-10-15,680.94,0.0,680.94,680.94,Est. Revenue
2024-10-16,1373.3,0.0,1373.3,1373.3,Est. Revenue
2024-10-17,1680.53,0.0,1680.53,1680.53,Est. Revenue
2024-10-18,1857.32,18764.21,20621.53,20621.53,Est. Revenue
2024-10-19,2639.72,0.0,2639.72,2639.72,Est. Revenue
2024-10-20,1487.23,0.0,1487.23,1487.23,Est. Revenue
2024-10-21,2716.15,0.0,2716.15,2716.15,Est. Revenue
2024-10-22,783.04,0.0,783.04,783.04,Est. Revenue
2024-10-23,1896.18,0.0,1896.18,1896.18,Est. Revenue
2024-10-24,1445.68,0.0,1445.68,1445.68,Est. Revenue
2024-10-25,1033.58,0.0,1033.58,1033.58,Est. Revenue
2024-10-26,2888.43,24513.39,27401.82,27401.82,Est. Revenue
2024-10-27,425.66,0.0,425.66,425.66,Est. Revenue
2024-10-28,1832.52,0.0,1832.52,1832.52,Est. Revenue
2024-10-29,1281.9,0.0,1281.9,1281.9,Est. Revenue
2024-10-30,396.13,0.0,396.13,396.13,Est. Revenue
2024-10-31,2075.17,29468.3,31543.47,31543.47,Est. Revenue
2024-11-01,942.9,0.0,942.9,942.9,Est. Revenue
2024-11-02,2755.54,0.0,2755.54,2755.54,Est. Revenue
2024-11-03,1953.22,0.0,1953.22,1953.22,Est. Revenue
2024-11-04,2607.35,13057.39,15664.74,15664.74,Est. Revenue
2024-11-05,2768.0,0.0,2768.0,2768.0,Est. Revenue
2024-11-06,2184.68,0.0,2184.68,2184.68,Est. Revenue
2024-11-07,1548.24,0.0,1548.24,1548.24,Est. Revenue
2024-11-08,981.13,0.0,981.13,981.13,Est. Revenue
2024-11-09,1256.15,0.0,1256.15,1256.15,Est. Revenue
2024-11-10,823.84,0.0,823.84,823.84,Est. Revenue
2024-11-11,1144.29,0.0,1144.29,1144.29,Est. Revenue
2024-11-12,1112.54,0.0,1112.54,1112.54,Est. Revenue
2024-11-13,3305.88,0.0,3305.88,3305.88,Est. Revenue
2024-11-14,597.29,0.0,597.29,597.29,Est. Revenue
2024-11-15,1423.99,0.0,1423.99,1423.99,Est. Revenue
2024-11-16,1627.08,26818.71,28445.79,28445.79,Est. Revenue
2024-11-17,1236.33,0.0,1236.33,1236.33,Est. Revenue
2024-11-18,2476.16,0.0,2476.16,2476.16,Est. Revenue
2024-11-19,1215.48,0.0,1215.48,1215.48,Est. Revenue
2024-11-20,1983.24,0.0,1983.24,1983.24,Est. Revenue
2024-11-21,2812.32,0.0,2812.32,2812.32,Est. Revenue
2024-11-22,1341.87,0.0,1341.87,1341.87,Est. Revenue
2024-11-23,1288.84,0.0,1288.84,1288.84,Est. Revenue
2024-11-24,1753.02,0.0,1753.02,1753.02,Est. Revenue
2024-11-25,1183.81,0.0,1183.81,1183.81,Est. Revenue
2024-11-26,2200.64,22653.63,24854.27,24854.27,Est. Revenue
2024-11-27,2772.09,0.0,2772.09,2772.09,Est. Revenue
2024-11-28,2135.47,0.0,2135.47,2135.47,Est. Revenue
2024-11-29,1984.75,22437.56,24422.31,24422.31,Est. Revenue
2024-11-30,0.0,0.0,0.0,0.0,Est. Revenue
2024-12-01,604.1,0.0,604.1,604.1,Est. Revenue
2024-12-02,1713.72,0.0,1713.72,1713.72,Est. Revenue
2024-12-03,3224.48,0.0,3224.48,3224.48,Est. Revenue
2024-12-04,0.0,0.0,0.0,0.0,Est. Revenue
2024-12-05,2338.1,0.0,2338.1,2338.1,Est. Revenue
2024-12-06,2967.76,0.0,2967.76,2967.76,Est. Revenue
2024-12-07,0.0,0.0,0.0,0.0,Est. Revenue
2024-12-08,2342.37,0.0,2342.37,2342.37,Est. Revenue
2024-12-09,1523.34,0.0,1523.34,1523.34,Est. Revenue
2024-12-10,1715.01,0.0,1715.01,1715.01,Est. Revenue
2024-12-11,2900.95,0.0,2900.95,2900.95,Est. Revenue
2024-12-12,2031.6,14044.78,16076.38,16076.38,Est. Revenue
2024-12-13,1162.09,0.0,1162.09,1162.09,Est. Revenue
2024-12-14,908.83,0.0,908.83,908.83,Est. Revenue
2024-12-15,764.06,0.0,764.06,764.06,Est. Revenue
2024-12-16,1935.87,0.0,1935.87,1935.87,Est. Revenue
2024-12-17,3147.29,0.0,3147.29,3147.29,Est. Revenue
2024-12-18,3199.29,0.0,3199.29,3199.29,Est. Revenue
2024-12-19,1178.64,0.0,1178.64,1178.64,Est. Revenue
2024-12-20,3015.68,0.0,3015.68,3015.68,Est. Revenue
2024-12-21,1814.41,0.0,1814.41,1814.41,Est. Revenue
2024-12-22,0.0,0.0,0.0,0.0,Est. Revenue
2024-12-23,2527.45,10237.75,12765.2,12765.2,Est. Revenue
2024-12-24,1587.9,19134.07,20721.97,20721.97,Est. Revenue
2024-12-25,2237.84,0.0,2237.84,2237.84,Est. Revenue
2024-12-26,2245.6,0.0,2245.6,2245.6,Est. Revenue
2024-12-27,1161.19,0.0,1161.19,1161.19,Est. Revenue
2024-12-28,1623.95,0.0,1623.95,1623.95,Est. Revenue
2024-12-29,1465.43,0.0,1465.43,1465.43,Est. Revenue
2024-12-30,900.41,0.0,900.41,900.41,Est. Revenue
2024-12-31,1406.63,0.0,1406.63,1406.63,Est. Revenue
2025-01-01,1379.66,0.0,1379.66,1379.66,Est. Revenue
2025-01-02,1233.93,0.0,1233.93,1233.93,Est. Revenue
2025-01-03,3519.93,0.0,3519.93,3519.93,Est. Revenue
2025-01-04,1858.5,0.0,1858.5,1858.5,Est. Revenue
2025-01-05,2707.83,17187.74,19895.57,19895.57,Est. Revenue
2025-01-06,1577.73,0.0,1577.73,1577.73,Est. Revenue
2025-01-07,2147.65,0.0,2147.65,2147.65,Est. Revenue
2025-01-08,1952.82,0.0,1952.82,1952.82,Est. Revenue
2025-01-09,1188.6,0.0,1188.6,1188.6,Est. Revenue
2025-01-10,1350.57,0.0,1350.57,1350.57,Est. Revenue
2025-01-11,3430.67,17826.53,21257.2,21257.2,Est. Revenue
2025-01-12,1944.93,0.0,1944.93,1944.93,Est. Revenue
2025-01-13,2257.25,21672.78,23930.03,23930.03,Est. Revenue
2025-01-14,2579.47,21939.07,24518.54,24518.54,Est. Revenue
2025-01-15,2753.9,0.0,2753.9,2753.9,Est. Revenue
2025-01-16,0.0,0.0,0.0,0.0,Est. Revenue
2025-01-17,2045.91,0.0,2045.91,2045.91,Est. Revenue
2025-01-18,897.66,0.0,897.66,897.66,Est. Revenue
2025-01-19,2899.42,0.0,2899.42,2899.42,Est. Revenue
2025-01-20,1899.11,0.0,1899.11,1899.11,Est. Revenue
2025-01-21,2197.42,0.0,2197.42,2197.42,Est. Revenue
2025-01-22,1237.44,0.0,1237.44,1237.44,Est. Revenue
2025-01-23,2148.64,0.0,2148.64,2148.64,Est. Revenue
2025-01-24,1859.9,0.0,1859.9,1859.9,Est. Revenue
2025-01-25,1037.05,0.0,1037.05,1037.05,Est. Revenue
2025-01-26,2119.06,0.0,2119.06,2119.06,Est. Revenue
2025-01-27,2047.3,0.0,2047.3,2047.3,Est. Revenue
2025-01-28,1082.5,0.0,1082.5,1082.5,Est. Revenue
2025-01-29,959.3,0.0,959.3,959.3,Est. Revenue
2025-01-30,2482.45,0.0,2482.45,2482.45,Est. Revenue
2025-01-31,2344.41,0.0,2344.41,2344.41,Est. Revenue
2025-02-01,0.0,0.0,0.0,0.0,Est. Revenue
2025-02-02,1282.73,0.0,1282.73,1282.73,Est. Revenue
2025-02-03,2340.68,0.0,2340.68,2340.68,Est. Revenue
2025-02-04,705.61,0.0,705.61,705.61,Est. Revenue
2025-02-05,3753.03,21233.88,24986.91,24986.91,Est. Revenue
2025-02-06,2088.07,0.0,2088.07,2088.07,Est. Revenue
2025-02-07,2599.23,0.0,2599.23,2599.23,Est. Revenue
2025-02-08,1885.45,25725.05,27610.5,27610.5,Est. Revenue
2025-02-09,625.0,0.0,625.0,625.0,Est. Revenue
2025-02-10,2117.94,0.0,2117.94,2117.94,Est. Revenue
2025-02-11,1878.0,0.0,1878.0,1878.0,Est. Revenue
2025-02-12,2132.55,0.0,2132.55,2132.55,Est. Revenue
2025-02-13,1854.36,0.0,1854.36,1854.36,Est. Revenue
2025-02-14,701.04,0.0,701.04,701.04,Est. Revenue
2025-02-15,2028.78,0.0,2028.78,2028.78,Est. Revenue
2025-02-16,2408.35,0.0,2408.35,2408.35,Est. Revenue
2025-02-17,2319.68,0.0,2319.68,2319.68,Est. Revenue
2025-02-18,2410.04,0.0,2410.04,2410.04,Est. Revenue
2025-02-19,1485.23,0.0,1485.23,1485.23,Est. Revenue
