date,booking_inquiries,show_up_rate,completed_visits,returning_inquiries,new_inquiries,primary_outcome_count,primary_outcome_label
2024-02-19,3,0.8057121564594906,2,1,2,2,Completed Visits
2024-02-20,4,0.8500990549865561,3,2,2,3,Completed Visits
2024-02-21,4,0.7940902409200538,3,1,3,3,Completed Visits
2024-02-22,2,0.8438950863613867,2,1,1,2,Completed Visits
2024-02-23,2,0.8066300096805421,2,1,1,2,Completed Visits
2024-02-24,3,0.7969790207735538,2,1,2,2,Completed Visits
2024-02-25,3,0.8098561752140232,2,1,2,2,Completed Visits
2024-02-26,3,0.769930846762912,2,1,2,2,Completed Visits
2024-02-27,3,0.8629175010695156,3,1,2,3,Completed Visits
2024-02-28,2,0.8084293043084967,2,1,1,2,Completed Visits
2024-02-29,2,0.8296091289767332,2,1,1,2,Completed Visits
2024-03-01,3,0.7934971947462313,2,1,2,2,Completed Visits
2024-03-02,3,0.7381023820522806,2,1,2,2,Completed Visits
2024-03-03,4,0.7814113471153572,3,2,2,3,Completed Visits
2024-03-04,3,0.7480309249807763,2,1,2,2,Completed Visits
2024-03-05,2,0.8371276328217815,2,1,1,2,Completed Visits
2024-03-06,2,0.7809567631652033,2,1,1,2,Completed Visits
2024-03-07,4,0.7999872991702655,3,2,2,3,Completed Visits
2024-03-08,2,0.7235513335314938,1,1,1,1,Completed Visits
2024-03-09,2,0.8548502388752395,2,1,1,2,Completed Visits
2024-03-10,2,0.7775669384274183,2,1,1,2,Completed Visits
2024-03-11,4,0.7690043824915781,3,2,2,3,Completed Visits
2024-03-12,2,0.7936185290683442,2,1,1,2,Completed Visits
2024-03-13,2,0.8197925579337326,2,1,1,2,Completed Visits
2024-03-14,3,0.7809295908569392,2,1,2,2,Completed Visits
2024-03-15,2,0.7912375042384264,2,1,1,2,Completed Visits
2024-03-16,3,0.8083144674785362,2,1,2,2,Completed Visits
2024-03-17,2,0.7544857818502753,2,1,1,2,Completed Visits
2024-03-18,2,0.836153983544546,2,1,1,2,Completed Visits
2024-03-19,4,0.7686511453815945,3,2,2,3,Completed Visits
2024-03-20,2,0.7658105478877324,2,1,1,2,Completed Visits
2024-03-21,3,0.7797686738611005,2,1,2,2,Completed Visits
2024-03-22,2,0.8686786198754559,2,1,1,2,Completed Visits
2024-03-23,2,0.7942683619449461,2,1,1,2,Completed Visits
2024-03-24,4,0.7713640634868463,3,2,2,3,Completed Visits
2024-03-25,2,0.7722132133029627,2,1,1,2,Completed Visits
2024-03-26,3,0.8040088333639076,2,1,2,2,Completed Visits
2024-03-27,4,0.8341749312578451,3,2,2,3,Completed Visits
2024-03-28,3,0.7814623992872283,2,1,2,2,Completed Visits
2024-03-29,4,0.7990411499934071,3,2,2,3,Completed Visits
2024-03-30,3,0.8212425532322835,2,1,2,2,Completed Visits
2024-03-31,2,0.7966747445970591,2,1,1,2,Completed Visits
2024-04-01,2,0.7713099878751132,2,1,1,2,Completed Visits
2024-04-02,2,0.8733570586863366,2,1,1,2,Completed Visits
2024-04-03,2,0.7369292739575248,1,1,1,1,Completed Visits
2024-04-04,2,0.8024562340423443,2,1,1,2,Completed Visits
2024-04-05,3,0.7847794026499668,2,1,2,2,Completed Visits
2024-04-06,5,0.8304761212977394,4,2,3,4,Completed Visits
2024-04-07,2,0.7899526417546399,2,1,1,2,Completed Visits
2024-04-08,3,0.7327307226766314,2,1,2,2,Completed Visits
2024-04-09,3,0.7489098147887198,2,1,2,2,Completed Visits
2024-04-10,4,0.748505430412951,3,2,2,3,Completed Visits
2024-04-11,2,0.8149574696792414,2,1,1,2,Completed Visits
2024-04-12,3,0.8189221761033146,2,1,2,2,Completed Visits
2024-04-13,4,0.8207302085398308,3,1,3,3,Completed Visits
2024-04-14,2,0.7924928726098376,2,1,1,2,Completed Visits
2024-04-15,3,0.749743575283418,2,1,2,2,Completed Visits
2024-04-16,3,0.8120149270608538,2,1,2,2,Completed Visits
2024-04-17,3,0.7742170359765326,2,1,2,2,Completed Visits
2024-04-18,3,0.7586430711759422,2,1,2,2,Completed Visits
2024-04-19,3,0.7937634386674072,2,1,2,2,Completed Visits
2024-04-20,4,0.8386399192009963,3,2,2,3,Completed Visits
2024-04-21,5,0.8389243054906551,4,2,3,4,Completed Visits
2024-04-22,2,0.8219455645557964,2,1,1,2,Completed Visits
2024-04-23,3,0.7970312174313097,2,1,2,2,Completed Visits
2024-04-24,3,0.7993520433432545,2,1,2,2,Completed Visits
2024-04-25,3,0.8720017427439234,3,1,2,3,Completed Visits
2024-04-26,3,0.7856337848863286,2,1,2,2,Completed Visits
2024-04-27,4,0.7606668075471298,3,2,2,3,Completed Visits
2024-04-28,3,0.7879829606511748,2,1,2,2,Completed Visits
2024-04-29,4,0.7480875441308891,3,2,2,3,Completed Visits
2024-04-30,2,0.7881030843106545,2,1,1,2,Completed Visits
2024-05-01,4,0.8718599434016999,3,2,2,3,Completed Visits
2024-05-02,3,0.816885672573838,2,1,2,2,Completed Visits
2024-05-03,3,0.815647464009695,2,1,2,2,Completed Visits
2024-05-04,3,0.785009983190618,2,1,2,2,Completed Visits
2024-05-05,3,0.7796879237356438,2,1,2,2,Completed Visits
2024-05-06,2,0.7645226488617624,2,1,1,2,Completed Visits
2024-05-07,4,0.8386134626623643,3,2,2,3,Completed Visits
2024-05-08,3,0.8571591959932401,3,1,2,3,Completed Visits
2024-05-09,2,0.863858252031237,2,1,1,2,Completed Visits
2024-05-10,3,0.8585654629204895,3,1,2,3,Completed Visits
2024-05-11,3,0.7411257268232395,2,1,2,2,Completed Visits
2024-05-12,2,0.8062427563688748,2,1,1,2,Completed Visits
2024-05-13,5,0.7993224786537453,4,2,3,4,Completed Visits
2024-05-14,5,0.7891628220929043,4,2,3,4,Completed Visits
2024-05-15,5,0.7557403422092956,4,2,3,4,Completed Visits
2024-05-16,3,0.8567929979655093,3,1,2,3,Completed Visits
2024-05-17,2,0.769884004644413,2,1,1,2,Completed Visits
2024-05-18,2,0.8325550226357655,2,1,1,2,Completed Visits
2024-05-19,3,0.78972167453595,2,1,2,2,Completed Visits
2024-05-20,3,0.7747129073204242,2,1,2,2,Completed Visits
2024-05-21,3,0.8497943244674514,3,1,2,3,Completed Visits
2024-05-22,2,0.8295449207523928,2,1,1,2,Completed Visits
2024-05-23,3,0.765233639216306,2,1,2,2,Completed Visits
2024-05-24,4,0.8706578914397933,3,2,2,3,Completed Visits
2024-05-25,3,0.8741707092247154,3,1,2,3,Completed Visits
2024-05-26,4,0.7212244537052295,3,2,2,3,Completed Visits
2024-05-27,4,0.7876619442101299,3,2,2,3,Completed Visits
2024-05-28,2,0.7520958096250348,2,1,1,2,Completed Visits
2024-05-29,5,0.8335010868516719,4,2,3,4,Completed Visits
2024-05-30,5,0.8196780279410456,4,2,3,4,Completed Visits
2024-05-31,2,0.729810866498451,1,1,1,1,Completed Visits
2024-06-01,2,0.7787678947031027,2,1,1,2,Completed Visits
2024-06-02,3,0.7920315663613808,2,1,2,2,Completed Visits
2024-06-03,3,0.8082506733206013,2,1,2,2,Completed Visits
2024-06-04,3,0.7626997611263641,2,1,2,2,Completed Visits
2024-06-05,3,0.7665885606323807,2,1,2,2,Completed Visits
2024-06-06,3,0.7278304937422831,2,1,2,2,Completed Visits
2024-06-07,2,0.9283637877070381,2,1,1,2,Completed Visits
2024-06-08,3,0.7605779961164026,2,1,2,2,Completed Visits
2024-06-09,4,0.7925587476561967,3,2,2,3,Completed Visits
2024-06-10,3,0.8634849252600715,3,1,2,3,Completed Visits
2024-06-11,3,0.7973151573732865,2,1,2,2,Completed Visits
2024-06-12,2,0.7856655422130445,2,1,1,2,Completed Visits
2024-06-13,3,0.7753412231300846,2,2,1,2,Completed Visits
2024-06-14,4,0.8391011671534937,3,1,3,3,Completed Visits
2024-06-15,3,0.8478418977813719,3,1,2,3,Completed Visits
2024-06-16,4,0.9063004721702315,4,2,2,4,Completed Visits
2024-06-17,4,0.837422741767193,3,2,2,3,Completed Visits
2024-06-18,2,0.8368636805762782,2,1,1,2,Completed Visits
2024-06-19,3,0.797915809795981,2,1,2,2,Completed Visits
2024-06-20,2,0.7921044557791291,2,1,1,2,Completed Visits
2024-06-21,5,0.8439151331870658,4,2,3,4,Completed Visits
2024-06-22,3,0.8568127185637623,3,1,2,3,Completed Visits
2024-06-23,3,0.7999751038031816,2,1,2,2,Completed Visits
2024-06-24,3,0.7394122672485802,2,1,2,2,Completed Visits
2024-06-25,4,0.9480683041515587,4,2,2,4,Completed Visits
2024-06-26,2,0.814822626199736,2,1,1,2,Completed Visits
2024-06-27,3,0.8397512185104851,3,1,2,3,Completed Visits
2024-06-28,3,0.7952975365466378,2,1,2,2,Completed Visits
2024-06-29,3,0.8571430320869182,3,1,2,3,Completed Visits
2024-06-30,2,0.8103641247268591,2,1,1,2,Completed Visits
2024-07-01,3,0.769912436150811,2,1,2,2,Completed Visits
2024-07-02,4,0.8142770959184641,3,2,2,3,Completed Visits
2024-07-03,4,0.770449447699439,3,2,2,3,Completed Visits
2024-07-04,3,0.8738575384893186,3,1,2,3,Completed Visits
2024-07-05,3,0.7697398477064057,2,1,2,2,Completed Visits
2024-07-06,4,0.8512516379635122,3,2,2,3,Completed Visits
2024-07-07,4,0.8525010675973924,3,2,2,3,Completed Visits
2024-07-08,4,0.8084508521252225,3,2,2,3,Completed Visits
2024-07-09,3,0.7773325935505081,2,1,2,2,Completed Visits
2024-07-10,3,0.7848931126690001,2,1,2,2,Completed Visits
2024-07-11,3,0.7945261533541662,2,1,2,2,Completed Visits
2024-07-12,3,0.8310210190938899,2,1,2,2,Completed Visits
2024-07-13,4,0.8262022373655766,3,2,2,3,Completed Visits
2024-07-14,2,0.8081820361981362,2,1,1,2,Completed Visits
2024-07-15,3,0.8047338598479169,2,1,2,2,Completed Visits
2024-07-16,3,0.7716248783049854,2,1,2,2,Completed Visits
2024-07-17,3,0.8137093438208385,2,1,2,2,Completed Visits
2024-07-18,3,0.8039007260540563,2,1,2,2,Completed Visits
2024-07-19,3,0.811173881965413,2,1,2,2,Completed Visits
2024-07-20,2,0.765578960396891,2,1,1,2,Completed Visits
2024-07-21,4,0.8493555137627689,3,2,2,3,Completed Visits
2024-07-22,3,0.8670829804417877,3,1,2,3,Completed Visits
2024-07-23,2,0.7992987388291668,2,1,1,2,Completed Visits
2024-07-24,3,0.8113565593222362,2,1,2,2,Completed Visits
2024-07-25,4,0.7831418360759879,3,2,2,3,Completed Visits
2024-07-26,4,0.7857445304346934,3,2,2,3,Completed Visits
2024-07-27,2,0.715830095397711,1,1,1,1,Completed Visits
2024-07-28,3,0.8655211669951947,3,1,2,3,Completed Visits
2024-07-29,4,0.7977432903488986,3,2,2,3,Completed Visits
2024-07-30,3,0.7876217879178372,2,1,2,2,Completed Visits
2024-07-31,4,0.8198025372446375,3,2,2,3,Completed Visits
2024-08-01,3,0.7475234403858585,2,1,2,2,Completed Visits
2024-08-02,2,0.7812906313885652,2,1,1,2,Completed Visits
2024-08-03,3,0.7318332614537746,2,1,2,2,Completed Visits
2024-08-04,3,0.8822725629472474,3,1,2,3,Completed Visits
2024-08-05,4,0.8344767918602358,3,2,2,3,Completed Visits
2024-08-06,2,0.7611580740910554,2,1,1,2,Completed Visits
2024-08-07,3,0.7549690749070396,2,1,2,2,Completed Visits
2024-08-08,2,0.9238660285473742,2,1,1,2,Completed Visits
2024-08-09,2,0.8282054565261634,2,1,1,2,Completed Visits
2024-08-10,3,0.8154392951973792,2,1,2,2,Completed Visits
2024-08-11,3,0.8643202466486413,3,1,2,3,Completed Visits
2024-08-12,2,0.8532205940927859,2,1,1,2,Completed Visits
2024-08-13,3,0.8020138975805194,2,1,2,2,Completed Visits
2024-08-14,2,0.7617571229258862,2,1,1,2,Completed Visits
2024-08-15,4,0.7531361332859096,3,2,2,3,Completed Visits
2024-08-16,4,0.7855131538717713,3,2,2,3,Completed Visits
2024-08-17,2,0.8476864983496144,2,1,1,2,Completed Visits
2024-08-18,2,0.7327163617969097,1,1,1,1,Completed Visits
2024-08-19,3,0.8988189550048109,3,1,2,3,Completed Visits
2024-08-20,4,0.8718253761585207,3,2,2,3,Completed Visits
2024-08-21,5,0.7423846749183772,4,2,3,4,Completed Visits
2024-08-22,5,0.8701190931303564,4,2,3,4,Completed Visits
2024-08-23,2,0.8481505838887943,2,1,1,2,Completed Visits
2024-08-24,3,0.8107569272899952,2,2,1,2,Completed Visits
2024-08-25,3,0.7883139467166645,2,2,1,2,Completed Visits
2024-08-26,4,0.7144338276850392,3,2,2,3,Completed Visits
2024-08-27,3,0.835552146907737,3,2,1,3,Completed Visits
2024-08-28,4,0.8628124768197357,3,2,2,3,Completed Visits
2024-08-29,2,0.7589233779896025,2,1,1,2,Completed Visits
2024-08-30,3,0.7979141279840465,2,1,2,2,Completed Visits
2024-08-31,3,0.8347225508661751,3,1,2,3,Completed Visits
2024-09-01,5,0.8402585101167702,4,2,3,4,Completed Visits
2024-09-02,3,0.7412673291392046,2,1,2,2,Completed Visits
2024-09-03,3,0.795024539233847,2,1,2,2,Completed Visits
2024-09-04,5,0.8266392414627418,4,2,3,4,Completed Visits
2024-09-05,3,0.8006565803630712,2,1,2,2,Completed Visits
2024-09-06,5,0.8157534035527034,4,2,3,4,Completed Visits
2024-09-07,4,0.7680630635830669,3,2,2,3,Completed Visits
2024-09-08,2,0.9068709080824954,2,1,1,2,Completed Visits
2024-09-09,4,0.7860530157715906,3,2,2,3,Completed Visits
2024-09-10,3,0.8268284235189661,2,1,2,2,Completed Visits
2024-09-11,4,0.8297107936411764,3,2,2,3,Completed Visits
2024-09-12,3,0.816312204054056,2,1,2,2,Completed Visits
2024-09-13,4,0.8822472307724246,4,2,2,4,Completed Visits
2024-09-14,3,0.7867508590251369,2,1,2,2,Completed Visits
2024-09-15,2,0.8214425321836699,2,1,1,2,Completed Visits
2024-09-16,3,0.8012938415189137,2,1,2,2,Completed Visits
2024-09-17,3,0.8160705805980442,2,1,2,2,Completed Visits
2024-09-18,2,0.8153785490614267,2,1,1,2,Completed Visits
2024-09-19,3,0.7996287288216674,2,1,2,2,Completed Visits
2024-09-20,2,0.8782169158689052,2,1,1,2,Completed Visits
2024-09-21,2,0.822007844872477,2,1,1,2,Completed Visits
2024-09-22,5,0.8363025531385482,4,3,2,4,Completed Visits
2024-09-23,3,0.831747273239829,2,1,2,2,Completed Visits
2024-09-24,3,0.8143839151326344,2,1,2,2,Completed Visits
2024-09-25,2,0.8471310474091409,2,1,1,2,Completed Visits
2024-09-26,3,0.8195207644800077,2,1,2,2,Completed Visits
2024-09-27,2,0.7210404955234265,1,1,1,1,Completed Visits
2024-09-28,5,0.8104794193387469,4,3,2,4,Completed Visits
2024-09-29,3,0.7877778473178593,2,1,2,2,Completed Visits
2024-09-30,3,0.8319184937599582,2,1,2,2,Completed Visits
2024-10-01,3,0.8703566007298019,3,1,2,3,Completed Visits
2024-10-02,5,0.8706658921152096,4,2,3,4,Completed Visits
2024-10-03,3,0.8196253000522722,2,2,1,2,Completed Visits
2024-10-04,2,0.7997089390151061,2,1,1,2,Completed Visits
2024-10-05,2,0.8634646173294716,2,1,1,2,Completed Visits
2024-10-06,3,0.8340964585758296,3,1,2,3,Completed Visits
2024-10-07,3,0.7356798803919742,2,1,2,2,Completed Visits
2024-10-08,3,0.8201320868619989,2,1,2,2,Completed Visits
2024-10-09,3,0.8097640094348377,2,1,2,2,Completed Visits
2024-10-10,5,0.7924698247524514,4,2,3,4,Completed Visits
2024-10-11,3,0.8591790364052194,3,1,2,3,Completed Visits
2024-10-12,4,0.7471267533356463,3,2,2,3,Completed Visits
2024-10-13,3,0.768916584043202,2,2,1,2,Completed Visits
2024-10-14,4,0.8005449618871326,3,2,2,3,Completed Visits
2024-10-15,3,0.8136062921424057,2,2,1,2,Completed Visits
2024-10-16,2,0.8515787432052346,2,1,1,2,Completed Visits
2024-10-17,5,0.8828657404595627,4,2,3,4,Completed Visits
2024-10-18,5,0.8634842176903873,4,2,3,4,Completed Visits
2024-10-19,3,0.8388268844106467,3,1,2,3,Completed Visits
2024-10-20,3,0.7757406049122241,2,1,2,2,Completed Visits
2024-10-21,3,0.761023067122066,2,1,2,2,Completed Visits
2024-10-22,5,0.8033595612632074,4,2,3,4,Completed Visits
2024-10-23,3,0.8608426162454476,3,1,2,3,Completed Visits
2024-10-24,2,0.8078096707593496,2,1,1,2,Completed Visits
2024-10-25,5,0.724546673126056,4,2,3,4,Completed Visits
2024-10-26,2,0.855913816444649,2,1,1,2,Completed Visits
2024-10-27,2,0.7779836649100778,2,1,1,2,Completed Visits
2024-10-28,3,0.8084359666739197,2,1,2,2,Completed Visits
2024-10-29,2,0.7815351653364064,2,1,1,2,Completed Visits
2024-10-30,4,0.8243163566100081,3,2,2,3,Completed Visits
2024-10-31,2,0.852550306658408,2,1,1,2,Completed Visits
2024-11-01,3,0.6650224702337586,2,1,2,2,Completed Visits
2024-11-02,2,0.7198486401522359,1,1,1,1,Completed Visits
2024-11-03,2,0.7259861022500078,1,1,1,1,Completed Visits
2024-11-04,4,0.702021068139568,3,2,2,3,Completed Visits
2024-11-05,2,0.7622972118964325,2,1,1,2,Completed Visits
2024-11-06,3,0.6415537901099725,2,1,2,2,Completed Visits
2024-11-07,3,0.6977209072183018,2,2,1,2,Completed Visits
2024-11-08,2,0.661598201403706,1,1,1,1,Completed Visits
2024-11-09,2,0.7245647439250316,1,1,1,1,Completed Visits
2024-11-10,2,0.7487988004470736,1,1,1,1,Completed Visits
2024-11-11,2,0.706785116095525,1,1,1,1,Completed Visits
2024-11-12,2,0.6941806558388439,1,1,1,1,Completed Visits
2024-11-13,3,0.7247734570156992,2,1,2,2,Completed Visits
2024-11-14,2,0.7286720761862665,1,1,1,1,Completed Visits
2024-11-15,3,0.7173363560519814,2,1,2,2,Completed Visits
2024-11-16,2,0.6793920418398901,1,1,1,1,Completed Visits
2024-11-17,3,0.6592238836755862,2,1,2,2,Completed Visits
2024-11-18,3,0.7176344363669094,2,1,2,2,Completed Visits
2024-11-19,3,0.7167849576836673,2,1,2,2,Completed Visits
2024-11-20,2,0.6941580838308405,1,1,1,1,Completed Visits
2024-11-21,2,0.7452901799046432,1,1,1,1,Completed Visits
2024-11-22,3,0.7241709102598952,2,2,1,2,Completed Visits
2024-11-23,2,0.7552753875710977,2,1,1,2,Completed Visits
2024-11-24,3,0.7525192493424808,2,1,2,2,Completed Visits
2024-11-25,2,0.8097225459228836,2,1,1,2,Completed Visits
2024-11-26,3,0.7467904302344949,2,1,2,2,Completed Visits
2024-11-27,2,0.6577578931801277,1,1,1,1,Completed Visits
2024-11-28,2,0.7067852694985778,1,1,1,1,Completed Visits
2024-11-29,3,0.6788006000165531,2,1,2,2,Completed Visits
2024-11-30,2,0.7979266688781529,2,1,1,2,Completed Visits
2024-12-01,2,0.7587572401620413,2,1,1,2,Completed Visits
2024-12-02,2,0.7370914292193576,1,1,1,1,Completed Visits
2024-12-03,3,0.7494502757675132,2,1,2,2,Completed Visits
2024-12-04,2,0.7381084659916792,1,1,1,1,Completed Visits
2024-12-05,4,0.7607848023199123,3,2,2,3,Completed Visits
2024-12-06,2,0.7216991920194655,1,1,1,1,Completed Visits
2024-12-07,2,0.7321258848095727,1,1,1,1,Completed Visits
2024-12-08,2,0.7314088762706609,1,1,1,1,Completed Visits
2024-12-09,2,0.7105268929439738,1,1,1,1,Completed Visits
2024-12-10,3,0.6659980191331064,2,2,1,2,Completed Visits
2024-12-11,3,0.7319625147862655,2,1,2,2,Completed Visits
2024-12-12,2,0.7714677849837517,2,1,1,2,Completed Visits
2024-12-13,2,0.7531246031222084,2,1,1,2,Completed Visits
2024-12-14,2,0.7674960891422015,2,1,1,2,Completed Visits
2024-12-15,3,0.6937825896457078,2,1,2,2,Completed Visits
2024-12-16,2,0.7467322144496593,1,1,1,1,Completed Visits
2024-12-17,2,0.7086928186662663,1,1,1,1,Completed Visits
2024-12-18,3,0.7349866981140311,2,1,2,2,Completed Visits
2024-12-19,2,0.7010343743074193,1,1,1,1,Completed Visits
2024-12-20,2,0.6724210950564721,1,1,1,1,Completed Visits
2024-12-21,2,0.7457755262342137,1,1,1,1,Completed Visits
2024-12-22,3,0.7257900647996075,2,1,2,2,Completed Visits
2024-12-23,3,0.6809375204202094,2,1,2,2,Completed Visits
2024-12-24,3,0.7786985504358234,2,1,2,2,Completed Visits
2024-12-25,2,0.7313371383444632,1,1,1,1,Completed Visits
2024-12-26,2,0.726032909785363,1,1,1,1,Completed Visits
2024-12-27,4,0.7927567193510329,3,2,2,3,Completed Visits
2024-12-28,3,0.7409005726858822,2,2,1,2,Completed Visits
2024-12-29,2,0.6815822122110776,1,1,1,1,Completed Visits
2024-12-30,5,0.7099804928159781,4,2,3,4,Completed Visits
2024-12-31,3,0.7842155792007584,2,1,2,2,Completed Visits
2025-01-01,3,0.8339095576740679,3,2,1,3,Completed Visits
2025-01-02,4,0.8151711392594486,3,2,2,3,Completed Visits
2025-01-03,5,0.8428139618333744,4,2,3,4,Completed Visits
2025-01-04,5,0.8117637004419181,4,2,3,4,Completed Visits
2025-01-05,3,0.8085861444501081,2,1,2,2,Completed Visits
2025-01-06,4,0.753885838478016,3,2,2,3,Completed Visits
2025-01-07,6,0.7920999094660964,5,3,3,5,Completed Visits
2025-01-08,3,0.8298471322695207,2,1,2,2,Completed Visits
2025-01-09,3,0.7261598013962819,2,2,1,2,Completed Visits
2025-01-10,3,0.7501084550941841,2,1,2,2,Completed Visits
2025-01-11,3,0.7783784551472133,2,1,2,2,Completed Visits
2025-01-12,3,0.8296492927371196,2,1,2,2,Completed Visits
2025-01-13,3,0.8118782562241901,2,1,2,2,Completed Visits
2025-01-14,4,0.7796619985861089,3,2,2,3,Completed Visits
2025-01-15,4,0.7900555947715918,3,2,2,3,Completed Visits
2025-01-16,4,0.8365749719910729,3,2,2,3,Completed Visits
2025-01-17,6,0.8369041260968515,5,2,4,5,Completed Visits
2025-01-18,5,0.8172119394027115,4,3,2,4,Completed Visits
2025-01-19,4,0.7816308466715054,3,2,2,3,Completed Visits
2025-01-20,4,0.8140183685536866,3,2,2,3,Completed Visits
2025-01-21,3,0.8357282416177537,3,1,2,3,Completed Visits
2025-01-22,2,0.8514365856955766,2,1,1,2,Completed Visits
2025-01-23,5,0.8538113731095687,4,2,3,4,Completed Visits
2025-01-24,5,0.8092185670771723,4,2,3,4,Completed Visits
2025-01-25,3,0.8772028171919589,3,1,2,3,Completed Visits
2025-01-26,4,0.8882940149526182,4,2,2,4,Completed Visits
2025-01-27,4,0.6962531396244173,3,2,2,3,Completed Visits
2025-01-28,6,0.7279634413798852,4,3,3,4,Completed Visits
2025-01-29,3,0.7782784930709422,2,2,1,2,Completed Visits
2025-01-30,4,0.8349906526424199,3,2,2,3,Completed Visits
2025-01-31,6,0.7789529714347986,5,3,3,5,Completed Visits
2025-02-01,3,0.7925371721967956,2,1,2,2,Completed Visits
2025-02-02,3,0.8022682335131339,2,1,2,2,Completed Visits
2025-02-03,3,0.788205006434935,2,1,2,2,Completed Visits
2025-02-04,3,0.7620467972723757,2,1,2,2,Completed Visits
2025-02-05,3,0.8508877473709686,3,2,1,3,Completed Visits
2025-02-06,4,0.7771306898368273,3,2,2,3,Completed Visits
2025-02-07,3,0.7961472000314594,2,1,2,2,Completed Visits
2025-02-08,0,0.8175360055570069,0,0,0,0,Completed Visits
2025-02-09,0,0.8265041328843732,0,0,0,0,Completed Visits
2025-02-10,0,0.7733245758817034,0,0,0,0,Completed Visits
2025-02-11,1,0.7840543782807263,1,0,1,1,Completed Visits
2025-02-12,0,0.7965704375391259,0,0,0,0,Completed Visits
2025-02-13,1,0.8060123595666043,1,1,0,1,Completed Visits
2025-02-14,0,0.8120631111042894,0,0,0,0,Completed Visits
2025-02-15,0,0.7426512995027977,0,0,0,0,Completed Visits
2025-02-16,0,0.8790621743803355,0,0,0,0,Completed Visits
2025-02-17,0,0.8481194242709573,0,0,0,0,Completed Visits
2025-02-18,0,0.7858069508829533,0,0,0,0,Completed Visits
2025-02-19,0,0.8160792643456977,0,0,0,0,Completed Visits
2025-02-20,0,0.7661133111783672,0,0,0,0,Completed Visits
2025-02-21,1,0.8350391924044106,1,0,1,1,Completed Visits
2025-02-22,1,0.7860595039236894,1,0,1,1,Completed Visits
2025-02-23,2,0.6782052038160513,1,1,1,1,Completed Visits
2025-02-24,2,0.9049045119596778,2,1,1,2,Completed Visits
2025-02-25,2,0.8109670899777037,2,1,1,2,Completed Visits
