date,baseline_sessions,social_sessions,direct_sessions,search_sessions,other_sessions,total_sessions,new_sessions,returning_sessions,non_social_conversion_rate,social_conversion_rate,orders,aov,revenue,primary_outcome_count,primary_outcome_label,orders_expected_baseline,orders_shortfall
2024-01-29,649,137,214,321,114,786,573,213,0.017126528123919835,0.04103314773783124,17,64.15,1090.55,17,Orders,17,0
2024-01-30,587,267,192,303,92,854,598,256,0.015590257046565326,0.040874307253430144,20,82.73,1654.6,20,Orders,20,0
2024-01-31,635,255,175,322,138,890,632,258,0.015483520539995401,0.038370031938496474,20,73.2,1464.0,20,Orders,20,0
2024-02-01,601,110,179,314,108,711,494,217,0.020491332427576794,0.04434642072546782,17,75.3,1280.1,17,Orders,17,0
2024-02-02,641,104,186,311,144,745,527,218,0.012147711390326481,0.03362886693444455,11,76.07,836.77,11,Orders,11,0
2024-02-03,650,266,207,317,126,916,663,253,0.024169808887820866,0.03597371364194274,25,76.65,1916.25,25,Orders,25,0
2024-02-04,591,332,197,279,115,923,636,287,0.014657239569698048,0.038754970609158036,22,83.26,1831.72,22,Orders,22,0
2024-02-05,668,331,222,348,98,999,710,289,0.024856380387435692,0.04541054573344453,32,72.78,2328.96,32,Orders,32,0
2024-02-06,695,262,261,339,95,957,685,272,0.014640565537281594,0.03852630217588606,20,69.06,1381.2,20,Orders,20,0
2024-02-07,649,199,194,387,68,848,608,240,0.018048249403705516,0.03492970994310892,19,70.15,1332.85,19,Orders,19,0
2024-02-08,600,145,173,303,124,745,537,208,0.01139662298919945,0.032455532781405304,12,80.86,970.32,12,Orders,12,0
2024-02-09,632,176,190,321,121,808,602,206,0.021364377888723196,0.023972230758715508,18,77.14,1388.52,18,Orders,18,0
2024-02-10,647,149,239,303,105,796,565,231,0.02116736240481529,0.025200763917536805,17,76.06,1293.02,17,Orders,17,0
2024-02-11,654,182,188,328,138,836,568,268,0.023339628015339745,0.05122408838084875,25,94.43,2360.75,25,Orders,25,0
2024-02-12,656,227,209,350,97,883,614,269,0.015580173156994817,0.030125637559186163,17,76.77,1305.09,17,Orders,17,0
2024-02-13,615,104,185,274,156,719,515,204,0.019132661520217725,0.03474493229116459,15,62.87,943.05,15,Orders,15,0
2024-02-14,623,140,189,331,103,763,504,259,0.01134908649637723,0.026041971742331325,11,79.81,877.91,11,Orders,11,0
2024-02-15,663,235,178,357,128,898,623,275,0.012244738781854472,0.044959450062224376,19,89.48,1700.12,19,Orders,19,0
2024-02-16,736,233,200,400,136,969,692,277,0.017530037736605046,0.04604420384543295,24,71.87,1724.88,24,Orders,24,0
2024-02-17,650,104,193,324,133,754,520,234,0.014621416079986077,0.037631845715241606,13,85.21,1107.73,13,Orders,13,0
2024-02-18,641,504,121,338,182,1145,818,327,0.022923307232301512,0.03409152265442995,32,60.08,1922.56,32,Orders,32,0
2024-02-19,662,370,199,345,118,1032,744,288,0.021292151886956618,0.04586539887806735,31,76.23,2363.13,31,Orders,31,0
2024-02-20,699,404,198,336,165,1103,769,334,0.019512266688646758,0.03446256626872701,28,69.39,1942.92,28,Orders,28,0
2024-02-21,647,303,233,286,128,950,656,294,0.0220030440782271,0.05056291844568002,30,86.09,2582.7,30,Orders,30,0
2024-02-22,562,135,184,244,134,697,481,216,0.019956323928527482,0.03553276602935399,16,82.07,1313.12,16,Orders,16,0
2024-02-23,629,149,191,307,131,778,529,249,0.021420793568324735,0.026199255474551483,17,77.16,1311.72,17,Orders,17,0
2024-02-24,624,476,162,343,119,1100,795,305,0.01595874443328308,0.044840170013631706,31,67.87,2103.97,31,Orders,31,0
2024-02-25,614,423,175,292,147,1037,747,290,0.02183351425354197,0.03396970706106179,28,67.84,1899.52,28,Orders,28,0
2024-02-26,604,441,187,295,122,1045,788,257,0.013103043725085577,0.03558875071928235,24,62.94,1510.56,24,Orders,24,0
2024-02-27,619,168,203,304,112,787,572,215,0.014206058420330082,0.044531309493942337,16,66.18,1058.88,16,Orders,16,0
2024-02-28,736,172,219,384,133,908,632,276,0.014487207104723244,0.044563773367271714,18,88.52,1593.36,18,Orders,18,0
2024-02-29,678,179,163,365,150,857,594,263,0.01770207541053493,0.02905389075412269,17,68.17,1158.89,17,Orders,17,0
2024-03-01,663,193,240,308,115,856,589,267,0.020016514946202487,0.030099171696859172,19,79.51,1510.69,19,Orders,19,0
2024-03-02,614,266,196,327,91,880,626,254,0.015735434889344407,0.043185678370272595,21,73.01,1533.21,21,Orders,21,0
2024-03-03,644,380,212,324,108,1024,719,305,0.02383167826997978,0.039877892837074165,31,85.64,2654.84,31,Orders,31,0
2024-03-04,673,264,218,326,129,937,661,276,0.010280944140756797,0.040375630658687905,18,70.5,1269.0,18,Orders,18,0
2024-03-05,656,453,170,330,156,1109,815,294,0.016625635927486337,0.06211361088521891,39,63.78,2487.42,39,Orders,39,0
2024-03-06,658,422,156,326,176,1080,808,272,0.010128262775025338,0.03620896944891933,22,72.25,1589.5,22,Orders,22,0
2024-03-07,721,490,234,345,142,1211,832,379,0.02477002713217097,0.056040949248089854,45,66.22,2979.9,45,Orders,45,0
2024-03-08,714,276,215,345,154,990,692,298,0.011864419693729429,0.024664859044076778,15,85.21,1278.15,15,Orders,15,0
2024-03-09,687,109,234,305,148,796,568,228,0.015167976668477754,0.03256605539217211,14,76.16,1066.24,14,Orders,14,0
2024-03-10,616,18,188,314,114,634,443,191,0.024993160690677557,0.04160412755265754,16,68.8,1100.8,16,Orders,16,0
2024-03-11,675,54,215,362,98,729,491,238,0.0250040922719852,0.04112688688621995,19,68.66,1304.54,19,Orders,19,0
2024-03-12,635,150,188,286,161,785,520,265,0.025048747349557195,0.024765803231429215,20,75.11,1502.2,20,Orders,20,0
2024-03-13,650,255,206,333,111,905,619,286,0.014966830659609003,0.0431050533603895,21,94.81,1991.01,21,Orders,21,0
2024-03-14,670,477,220,347,103,1147,810,337,0.022745224815178034,0.054398242361825,41,81.12,3325.92,41,Orders,41,0
2024-03-15,689,443,177,370,142,1132,791,341,0.016195227549694123,0.031113061531796795,25,78.88,1972.0,25,Orders,25,0
2024-03-16,713,199,184,357,172,912,653,259,0.020460391623260896,0.038925876952469775,22,63.3,1392.6,22,Orders,22,0
2024-03-17,597,55,148,302,147,652,442,210,0.013624693675593645,0.03541445056012739,10,77.5,775.0,10,Orders,10,0
2024-03-18,706,223,210,373,123,929,656,273,0.012915436153875927,0.02637629294763393,15,65.8,987.0,15,Orders,15,0
2024-03-19,661,241,200,345,116,902,633,269,0.02548909074420236,0.027875469910303263,24,75.71,1817.04,24,Orders,24,0
2024-03-20,682,256,249,302,131,938,677,261,0.024417581192552513,0.03739765896540696,26,76.22,1981.72,26,Orders,26,0
2024-03-21,652,236,181,330,141,888,614,274,0.018004062258129963,0.02944134399842196,19,80.42,1527.98,19,Orders,19,0
2024-03-22,741,385,225,358,158,1126,813,313,0.020142527899413096,0.0452076162353956,32,79.64,2548.48,32,Orders,32,0
2024-03-23,686,399,168,353,165,1085,757,328,0.022353039660050856,0.035419926214389226,29,74.93,2172.97,29,Orders,29,0
2024-03-24,717,182,222,360,135,899,655,244,0.016778975453012827,0.03900357006091597,19,70.06,1331.14,19,Orders,19,0
2024-03-25,660,312,194,322,144,972,683,289,0.012058166672759128,0.030654894199852314,18,67.22,1209.96,18,Orders,18,0
2024-03-26,726,229,245,371,110,955,661,294,0.01936249269405318,0.02729667699633044,20,71.88,1437.6,20,Orders,20,0
2024-03-27,698,259,201,338,159,957,690,267,0.01793595512577576,0.042293458327362074,23,74.61,1716.03,23,Orders,23,0
2024-03-28,663,141,216,327,120,804,554,250,0.015584091229460157,0.021204258122387735,13,78.2,1016.6,13,Orders,13,0
2024-03-29,687,137,252,321,114,824,581,243,0.010381123666877868,0.048963216470776935,14,73.09,1023.26,14,Orders,14,0
2024-03-30,673,50,221,284,168,723,470,253,0.011797795927303747,0.028087328481275337,9,70.63,635.67,9,Orders,9,0
2024-03-31,667,20,184,335,148,687,491,196,0.025401804842160532,0.04018252186465729,18,62.8,1130.4,18,Orders,18,0
2024-04-01,745,124,210,374,161,869,546,323,0.018250545365270657,0.04006082404788054,19,79.6,1512.4,19,Orders,19,0
2024-04-02,707,134,214,356,137,841,597,244,0.016018318202415047,0.04545728881851696,17,83.17,1413.89,17,Orders,17,0
2024-04-03,684,67,207,325,152,751,538,213,0.025324862034284332,0.04793099359298078,21,76.3,1602.3,21,Orders,21,0
2024-04-04,643,171,218,286,139,814,594,220,0.020856236277035926,0.038497454887078036,20,77.96,1559.2,20,Orders,20,0
2024-04-05,737,76,209,365,163,813,545,268,0.022096337987158612,0.03392872276470645,19,79.95,1519.05,19,Orders,19,0
2024-04-06,699,279,228,317,154,978,688,290,0.020335046799751115,0.048952127164981984,28,76.25,2135.0,28,Orders,28,0
2024-04-07,691,211,210,340,141,902,646,256,0.016017280248886368,0.03422893957706036,18,80.73,1453.14,18,Orders,18,0
2024-04-08,675,105,204,321,150,780,549,231,0.013239276238758512,0.04386828302472181,14,70.06,980.84,14,Orders,14,0
2024-04-09,760,153,208,357,195,913,662,251,0.017943289274268113,0.032361146258817315,19,80.93,1537.67,19,Orders,19,0
2024-04-10,750,283,236,358,156,1033,707,326,0.020850418968865338,0.03729471468416984,26,73.06,1899.56,26,Orders,26,0
2024-04-11,696,589,203,355,138,1285,916,369,0.016182176831853932,0.04650525702167249,39,77.82,3034.98,39,Orders,39,0
2024-04-12,692,278,209,368,115,970,667,303,0.024771127904441314,0.03652698823345547,27,72.03,1944.81,27,Orders,27,0
2024-04-13,697,200,199,357,141,897,649,248,0.013598837797078382,0.030578816934471616,16,74.83,1197.28,16,Orders,16,0
2024-04-14,708,105,242,361,105,813,550,263,0.013323775735991162,0.04259744968003374,14,72.45,1014.3,14,Orders,14,0
2024-04-15,715,181,222,376,117,896,634,262,0.025466513438901814,0.03718811401260589,25,89.07,2226.75,25,Orders,25,0
2024-04-16,666,287,174,367,125,953,669,284,0.015266800935015425,0.034215210699831966,20,70.03,1400.6,20,Orders,20,0
2024-04-17,695,136,161,377,157,831,585,246,0.015059736139520523,0.029693044875940804,15,74.82,1122.3,15,Orders,15,0
2024-04-18,724,52,202,361,161,776,516,260,0.010729090415118714,0.03356229572339359,10,68.44,684.4,10,Orders,10,0
2024-04-19,768,88,194,377,197,856,557,299,0.01197404216060044,0.05161379806701146,14,64.86,908.04,14,Orders,14,0
2024-04-20,754,268,279,349,126,1022,708,314,0.018327931195311595,0.04553177316188142,26,80.51,2093.26,26,Orders,26,0
2024-04-21,744,415,245,324,175,1159,818,341,0.012736314755452994,0.04837659228115414,30,76.66,2299.8,30,Orders,30,0
2024-04-22,712,426,207,352,153,1138,803,335,0.024716944139527103,0.03647607074584296,33,77.45,2555.85,33,Orders,33,0
2024-04-23,763,293,268,373,122,1056,765,291,0.01137515907102805,0.04045318599375375,21,77.26,1622.46,21,Orders,21,0
2024-04-24,786,409,260,404,122,1195,819,376,0.013552182212033366,0.06789968789175664,38,81.24,3087.12,38,Orders,38,0
2024-04-25,797,176,211,399,187,973,686,287,0.012929590820561571,0.03901525795523987,17,79.6,1353.2,17,Orders,17,0
2024-04-26,818,74,250,388,180,892,598,294,0.011469625126059401,0.0469240318752684,13,77.58,1008.54,13,Orders,13,0
2024-04-27,761,464,248,351,162,1225,847,378,0.01222772356655667,0.03991057812468538,28,68.44,1916.32,28,Orders,28,0
2024-04-28,756,402,222,398,136,1158,793,365,0.023386720106634572,0.024413646871328354,27,79.23,2139.21,27,Orders,27,0
2024-04-29,829,201,170,443,216,1030,723,307,0.02374661146778854,0.03161774063331728,26,62.12,1615.12,26,Orders,26,0
2024-04-30,774,43,212,413,149,817,524,293,0.021729677023604788,0.04870563866106982,19,74.04,1406.76,19,Orders,19,0
2024-05-01,824,507,243,413,168,1331,887,444,0.022758840678708356,0.045879064565568485,42,79.96,3358.32,42,Orders,42,0
2024-05-02,807,400,282,423,102,1207,845,362,0.02299124423071662,0.031443432486370076,31,64.88,2011.28,31,Orders,31,0
2024-05-03,749,266,257,370,122,1015,698,317,0.011552673652009461,0.04713705433573583,21,95.43,2004.03,21,Orders,21,0
2024-05-04,818,259,263,402,153,1077,725,352,0.0156607047562929,0.04276639341899972,24,84.9,2037.6,24,Orders,24,0
2024-05-05,814,513,199,443,172,1327,930,397,0.012002579398645252,0.04192389165127973,31,84.18,2609.58,31,Orders,31,0
2024-05-06,813,248,257,370,186,1061,736,325,0.019708696663936882,0.03912557060733987,26,61.03,1586.78,26,Orders,26,0
2024-05-07,814,263,255,471,88,1077,719,358,0.0198843483457986,0.06013961470985953,32,68.86,2203.52,32,Orders,32,0
2024-05-08,782,235,259,360,163,1017,756,261,0.025236976286118293,0.03932722283590811,29,83.52,2422.08,29,Orders,29,0
2024-05-09,817,400,245,436,136,1217,870,347,0.01351071277302306,0.04187137894324475,28,82.71,2315.88,28,Orders,28,0
2024-05-10,823,399,238,428,157,1222,845,377,0.026967021784279906,0.06121956923484624,47,67.59,3176.73,47,Orders,47,0
2024-05-11,891,516,299,448,144,1407,958,449,0.019438855842004766,0.0577685875021598,47,74.24,3489.28,47,Orders,47,0
2024-05-12,840,561,261,420,159,1401,1005,396,0.011347363585731735,0.03099409773979805,27,89.13,2406.51,27,Orders,27,0
2024-05-13,863,253,223,449,191,1116,782,334,0.021794597808275196,0.035749126909725586,28,82.96,2322.88,28,Orders,28,0
2024-05-14,928,225,296,439,193,1153,802,351,0.013024648582645935,0.02722984205707233,18,72.46,1304.28,18,Orders,18,0
2024-05-15,773,223,240,387,146,996,661,335,0.02257379715209802,0.04011193676796054,26,62.48,1624.48,26,Orders,26,0
2024-05-16,903,334,282,453,168,1237,878,359,0.01209782661654168,0.039521719072652534,24,77.28,1854.72,24,Orders,24,0
2024-05-17,866,314,228,473,165,1180,786,394,0.01270035458839777,0.047064729897463985,26,76.96,2000.96,26,Orders,26,0
2024-05-18,840,456,289,397,154,1296,863,433,0.023139572045478334,0.03417840037350929,35,81.87,2865.45,35,Orders,35,0
2024-05-19,804,465,246,406,152,1269,875,394,0.012164659226755699,0.047757678608228146,32,87.86,2811.52,32,Orders,32,0
2024-05-20,906,363,249,452,205,1269,846,423,0.024890861258234274,0.039572962870966386,37,60.63,2243.31,37,Orders,37,0
2024-05-21,875,464,208,471,196,1339,906,433,0.02233768165498747,0.05992202437500959,47,75.97,3570.59,47,Orders,47,0
2024-05-22,845,683,285,384,176,1528,1034,494,0.01335742168283092,0.053241338535973994,48,71.76,3444.48,48,Orders,48,0
2024-05-23,813,824,280,399,134,1637,1178,459,0.02594639073081097,0.04291111322236542,56,66.67,3733.52,56,Orders,56,0
2024-05-24,908,642,280,493,135,1550,1089,461,0.0205174182362808,0.03314143708352352,40,68.21,2728.4,40,Orders,40,0
2024-05-25,932,260,276,452,204,1192,787,405,0.01535393749290678,0.051578993934042895,28,65.62,1837.36,28,Orders,28,0
2024-05-26,824,67,298,372,154,891,548,343,0.01955822420205164,0.028178557869394723,18,66.37,1194.66,18,Orders,18,0
2024-05-27,863,101,280,417,166,964,652,312,0.018595611224750525,0.04470491705440813,21,73.69,1547.49,21,Orders,21,0
2024-05-28,881,51,288,413,180,932,591,341,0.018267683708574733,0.028253209186641245,18,57.88,1041.84,18,Orders,18,0
2024-05-29,905,239,235,492,178,1144,791,353,0.027287661616734314,0.028635665915857623,32,66.82,2138.24,32,Orders,32,0
2024-05-30,850,539,312,449,89,1389,988,401,0.025119488624882395,0.05227811322669354,50,66.59,3329.5,50,Orders,50,0
2024-05-31,958,269,278,487,193,1227,881,346,0.020675633088679618,0.045327065619566446,32,70.14,2244.48,32,Orders,32,0
2024-06-01,866,384,324,388,154,1250,873,377,0.013503571889756183,0.037109563310803374,26,84.28,2191.28,26,Orders,26,0
2024-06-02,855,138,269,412,174,993,680,313,0.01335015162016773,0.039211006419428825,17,77.95,1325.15,17,Orders,17,0
2024-06-03,834,367,229,403,202,1201,789,412,0.02329535604639415,0.044975399569876694,36,71.62,2578.32,36,Orders,36,0
2024-06-04,820,323,252,454,114,1143,777,366,0.023392816317850784,0.04429368755685314,33,83.39,2751.87,33,Orders,33,0
2024-06-05,902,446,234,482,186,1348,892,456,0.026578892753786602,0.030158917397473874,37,76.63,2835.31,37,Orders,37,0
2024-06-06,874,186,256,481,137,1060,666,394,0.025249397892617643,0.036030047489545844,29,73.6,2134.4,29,Orders,29,0
2024-06-07,836,71,223,430,183,907,634,273,0.016614959288020082,0.05362600151300666,18,70.3,1265.4,18,Orders,18,0
2024-06-08,827,156,209,445,173,983,610,373,0.019642192515751156,0.0400447375901557,22,74.19,1632.18,22,Orders,22,0
2024-06-09,915,751,318,425,172,1666,1160,506,0.017632984458971743,0.04776090530706971,52,71.58,3722.16,52,Orders,52,0
2024-06-10,923,376,240,488,195,1299,873,426,0.015635517163330653,0.031240878876882355,26,76.5,1989.0,26,Orders,26,0
2024-06-11,901,499,243,470,188,1400,966,434,0.02473643429571844,0.051232945930609446,48,68.89,3306.72,48,Orders,48,0
2024-06-12,881,335,253,444,184,1216,873,343,0.027411236982371273,0.02982983690762458,34,83.65,2844.1,34,Orders,34,0
2024-06-13,850,167,294,377,179,1017,699,318,0.019239792569869983,0.03249690412673662,22,88.48,1946.56,22,Orders,22,0
2024-06-14,920,355,286,508,126,1275,872,403,0.01775130641223812,0.06133616412535884,38,73.25,2783.5,38,Orders,38,0
2024-06-15,933,295,270,451,212,1228,866,362,0.022076127038000323,0.03592033589394648,31,66.56,2063.36,31,Orders,31,0
2024-06-16,886,254,284,446,156,1140,768,372,0.014002093680451435,0.03279260978613598,21,78.57,1649.97,21,Orders,21,0
2024-06-17,866,490,314,360,192,1356,915,441,0.02190817796054627,0.05017626055045993,44,71.2,3132.8,44,Orders,44,0
2024-06-18,948,346,258,448,242,1294,899,395,0.012007501548113439,0.041901482621212356,26,70.44,1831.44,26,Orders,26,0
2024-06-19,838,160,280,374,184,998,676,322,0.025750330365862058,0.03795923352852131,28,75.07,2101.96,28,Orders,28,0
2024-06-20,888,318,296,451,141,1206,791,415,0.02128330818353182,0.04007466540957217,32,65.65,2100.8,32,Orders,32,0
2024-06-21,955,587,307,470,178,1542,1095,447,0.024822622649625887,0.035707794910794226,45,71.99,3239.55,45,Orders,45,0
2024-06-22,865,294,251,432,182,1159,766,393,0.013092833448981494,0.03983879124722431,23,77.19,1775.37,23,Orders,23,0
2024-06-23,847,293,239,403,205,1140,806,334,0.025250276486020583,0.0546638452799822,37,92.24,3412.88,37,Orders,37,0
2024-06-24,755,962,219,406,130,1717,1222,495,0.027421138846796235,0.04568673772113945,65,69.2,4498.0,65,Orders,65,0
2024-06-25,804,775,260,382,162,1579,1105,474,0.02740792800076875,0.033658239115301025,48,85.83,4119.84,48,Orders,48,0
2024-06-26,829,612,212,440,177,1441,1016,425,0.01316746875759854,0.032131504319521415,31,75.15,2329.65,31,Orders,31,0
2024-06-27,907,358,330,458,119,1265,861,404,0.01918340948792517,0.04215087032415201,32,75.4,2412.8,32,Orders,32,0
2024-06-28,770,142,226,381,163,912,564,348,0.014782671596025598,0.039060579729339136,17,77.21,1312.57,17,Orders,17,0
2024-06-29,907,222,291,420,196,1129,781,348,0.024947177821694012,0.030952266901213745,29,81.66,2368.14,29,Orders,29,0
2024-06-30,808,331,252,411,145,1139,800,339,0.020817922018112524,0.04928404159534036,33,69.74,2301.42,33,Orders,33,0
2024-07-01,789,471,254,351,184,1260,846,414,0.024564122110087336,0.056780724035858814,46,76.63,3524.98,46,Orders,46,0
2024-07-02,809,213,214,415,180,1022,663,359,0.020583317251793586,0.0467703981520871,27,66.65,1799.55,27,Orders,27,0
2024-07-03,733,236,181,398,154,969,660,309,0.025619596327314524,0.04248716455779793,29,81.52,2364.08,29,Orders,29,0
2024-07-04,795,332,221,394,180,1127,753,374,0.019888025718865054,0.04583417360861186,31,65.48,2029.88,31,Orders,31,0
2024-07-05,831,577,240,412,179,1408,978,430,0.016200112865642206,0.030240157451069706,31,66.07,2048.17,31,Orders,31,0
2024-07-06,686,268,206,401,79,954,632,322,0.021221411878647792,0.027225491689460864,22,68.94,1516.68,22,Orders,22,0
2024-07-07,719,428,213,386,120,1147,784,363,0.012418246902723322,0.029747123787090556,22,77.04,1694.88,22,Orders,22,0
2024-07-08,699,232,220,329,150,931,616,315,0.017618867754740055,0.02961374655728889,19,64.06,1217.14,19,Orders,19,0
2024-07-09,747,707,254,350,143,1454,1024,430,0.02163431357656051,0.043836137954309094,47,63.4,2979.8,47,Orders,47,0
2024-07-10,740,313,199,369,172,1053,716,337,0.015234131552902971,0.04745777955574518,26,52.94,1376.44,26,Orders,26,0
2024-07-11,800,384,280,389,131,1184,796,388,0.01962117139540664,0.04647949044020842,34,77.37,2630.58,34,Orders,34,0
2024-07-12,686,428,152,391,143,1114,748,366,0.023418454486788032,0.02659396006531985,27,72.93,1969.11,27,Orders,27,0
2024-07-13,765,424,234,353,178,1189,808,381,0.019648093035806908,0.041172949190719246,32,79.37,2539.84,32,Orders,32,0
2024-07-14,702,182,229,321,152,884,617,267,0.012099843817416439,0.03192756677484468,14,73.89,1034.46,14,Orders,14,0
2024-07-15,733,53,227,374,132,786,499,287,0.015931432368726454,0.04873385201751827,14,71.57,1001.98,14,Orders,14,0
2024-07-16,712,269,173,368,171,981,616,365,0.011417902198746395,0.049894030268625975,22,73.01,1606.22,22,Orders,22,0
2024-07-17,738,134,234,332,172,872,547,325,0.01373382420004329,0.03746984729904528,15,85.85,1287.75,15,Orders,15,0
2024-07-18,681,458,208,333,140,1139,763,376,0.015261543382304985,0.034112835139574686,26,76.24,1982.24,26,Orders,26,0
2024-07-19,747,423,217,364,166,1170,792,378,0.024670824953128657,0.0401965790279106,35,84.39,2953.65,35,Orders,35,0
2024-07-20,735,358,206,369,160,1093,769,324,0.013561893542881617,0.03603621701016637,23,72.55,1668.65,23,Orders,23,0
2024-07-21,650,457,219,289,142,1107,778,329,0.01120675514430333,0.026410561488809835,19,68.37,1299.03,19,Orders,19,0
2024-07-22,690,372,208,365,117,1062,740,322,0.014498270750131208,0.051751611680196305,29,73.13,2120.77,29,Orders,29,0
2024-07-23,711,278,195,358,158,989,662,327,0.024228952821542575,0.033849385411768206,27,72.77,1964.79,27,Orders,27,0
2024-07-24,660,565,207,328,125,1225,894,331,0.01571325822294816,0.04542860211665515,36,75.91,2732.76,36,Orders,36,0
2024-07-25,657,525,183,345,129,1182,823,359,0.024279285429418,0.04381645991974064,39,82.43,3214.77,39,Orders,39,0
2024-07-26,673,297,194,353,126,970,672,298,0.01258165121828448,0.026954677766397355,16,58.96,943.36,16,Orders,16,0
2024-07-27,707,90,241,326,140,797,513,284,0.023551055183117474,0.02628633125094856,19,69.49,1320.31,19,Orders,19,0
2024-07-28,712,165,232,273,207,877,584,293,0.010633041350053872,0.03003910993746689,13,76.22,990.86,13,Orders,13,0
2024-07-29,663,324,174,375,114,987,648,339,0.012128582416262093,0.04896405312226637,24,77.86,1868.64,24,Orders,24,0
2024-07-30,713,343,200,360,153,1056,758,298,0.024016316065625785,0.04218271663487979,32,77.23,2471.36,32,Orders,32,0
2024-07-31,624,310,159,343,122,934,635,299,0.017583128730821452,0.04783824243792693,26,69.23,1799.98,26,Orders,26,0
2024-08-01,770,215,202,378,190,985,644,341,0.023296672745274177,0.026369436838158383,24,57.29,1374.96,24,Orders,24,0
2024-08-02,680,160,185,324,171,840,527,313,0.010081315420786314,0.03938743392526109,13,78.37,1018.81,13,Orders,13,0
2024-08-03,745,60,240,345,160,805,519,286,0.021839683238790444,0.04127840631929183,19,62.27,1183.13,19,Orders,19,0
2024-08-04,680,115,219,344,117,795,529,266,0.017662648310699965,0.04580694180232531,17,63.12,1073.04,17,Orders,17,0
2024-08-05,682,84,215,336,131,766,501,265,0.019825230056194864,0.027247003669429073,16,66.55,1064.8,16,Orders,16,0
2024-08-06,710,42,186,343,181,752,470,282,0.02368141043669085,0.047018361800027185,19,73.1,1388.9,19,Orders,19,0
2024-08-07,705,300,201,351,153,1005,672,333,0.01925618890086676,0.03725463948083965,25,72.78,1819.5,25,Orders,25,0
